individual,Ng10.a,Ng10.b,Ng18.a,Ng18.b,Ng8.a,Ng8.b,Bd12.a,Bd12.b,Ng20.a,Ng20.b,Ng6.a,Ng6.b,Ng7.a,Ng7.b,stem_width,stem_height,first_flower_day,fruits_number,fruit_length,fruit_diameter,fruit_weight,seeds_number,yield,variety
ind_1,1,1,4,4,2,2,2,2,1,1,2,2,0,0,1.52,78.0,44.0,13,23.18,3.39,48.08,135.0,624.98,cayenne
ind_2,1,1,4,4,2,2,2,2,1,1,2,2,0,0,1.36,74.0,45.0,9,25.05,3.08,48.1,164.0,432.9,cayenne
ind_3,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.43,69.0,63.0,8,17.75,2.03,19.05,47.0,152.4,cayenne
ind_4,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.53,68.0,44.0,12,21.5,3.04,46.58,156.0,558.9,cayenne
ind_5,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.34,84.0,44.0,6,24.88,3.38,54.05,148.33,324.3,cayenne
ind_6,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.32,72.0,44.0,4,25.5,2.98,55.8,146.88,223.2,cayenne
ind_7,1,1,4,4,2,2,2,2,1,1,2,2,4,4,1.61,87.0,48.0,11,25.33,3.0,52.17,146.88,573.83,cayenne
ind_8,1,1,4,4,2,2,2,2,1,1,2,2,4,4,1.5,72.0,48.0,10,20.88,2.61,35.43,136.67,354.25,cayenne
ind_9,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.66,94.0,48.0,12,22.63,3.42,55.83,150.67,669.9,cayenne
ind_10,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.72,49.0,40.0,9,19.0,2.76,40.33,148.33,362.93,cayenne
ind_11,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.25,61.0,45.0,9,22.95,2.88,44.93,171.5,404.33,cayenne
ind_12,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.41,90.0,46.0,5,26.5,3.34,52.1,172.0,260.5,cayenne
ind_13,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.65,92.0,44.0,14,21.25,3.66,52.15,176.5,730.1,cayenne
ind_14,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.61,72.0,45.89,15,27.2,3.1,51.25,138.0,768.75,cayenne
ind_15,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.74,60.0,45.89,17,22.43,3.11,52.88,147.5,898.88,cayenne
ind_16,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.25,43.0,44.0,3,18.33,3.01,40.83,97.0,122.5,cayenne
ind_17,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.17,78.0,44.0,6,24.43,3.19,42.98,150.0,257.85,cayenne
ind_18,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.61,87.0,44.0,12,25.88,3.46,50.28,158.67,603.3,cayenne
ind_19,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.24,84.0,44.0,10,22.43,2.79,41.73,116.67,417.25,cayenne
ind_20,1,1,3,3,2,2,2,2,1,1,5,5,2,2,1.65,62.0,44.0,12,23.13,2.57,45.08,148.33,540.9,cayenne
ind_21,1,1,3,3,2,2,2,2,1,1,2,2,4,4,1.13,48.0,36.0,7,18.5,2.41,21.8,146.88,152.6,cayenne
ind_22,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.75,78.0,44.0,13,21.38,2.64,38.18,139.0,496.28,cayenne
ind_23,1,1,3,3,2,2,2,2,1,1,2,2,4,4,1.23,84.0,48.0,11,21.25,2.72,34.7,116.0,381.7,cayenne
ind_24,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.5,80.0,44.0,10,17.67,1.96,24.47,168.0,244.67,cayenne
ind_25,1,1,4,4,2,2,2,2,1,1,4,4,8,8,0.9,30.0,46.0,5,19.5,2.21,20.7,111.33,103.5,cayenne
ind_26,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.74,96.0,64.0,19,22.13,2.84,35.05,180.0,665.95,cayenne
ind_27,1,1,4,4,2,2,2,2,1,1,2,2,2,2,1.26,90.0,47.0,3,22.76,2.95,44.09,146.88,132.27,cayenne
ind_28,1,1,4,4,2,2,2,2,1,1,2,2,4,4,1.76,78.0,49.0,19,23.7,3.31,48.1,153.0,913.9,cayenne
ind_29,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.26,89.0,51.0,10,22.5,2.66,41.28,173.67,412.75,cayenne
ind_30,1,1,4,4,2,2,0,0,1,1,2,2,2,2,2.15,90.0,44.0,17,20.38,2.93,40.68,132.0,691.48,cayenne
ind_31,1,1,3,3,2,2,2,2,1,1,2,2,4,4,1.5,80.0,47.0,14,21.88,2.76,40.55,159.0,567.7,cayenne
ind_32,1,1,3,3,2,2,2,2,1,1,2,2,4,4,1.41,74.0,36.0,12,23.0,2.81,38.18,141.33,458.1,cayenne
ind_33,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.64,76.0,45.89,19,25.93,3.33,57.1,167.33,1084.9,cayenne
ind_34,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.2,77.0,48.0,5,19.67,3.38,41.17,193.0,205.83,cayenne
ind_35,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.14,67.0,44.0,7,22.38,2.99,50.0,147.67,350.0,cayenne
ind_36,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.64,84.0,49.0,16,26.25,3.34,53.0,166.33,848.0,cayenne
ind_37,1,1,3,3,2,2,2,2,2,2,4,4,2,2,1.44,57.0,44.0,10,22.15,2.77,41.93,120.33,419.25,cayenne
ind_38,1,1,3,3,2,2,2,2,1,1,2,2,4,4,1.24,79.0,45.0,15,27.63,2.78,50.23,97.0,753.38,cayenne
ind_39,1,1,3,3,2,2,2,2,1,1,2,2,2,2,2.04,114.0,44.0,15,22.13,2.88,42.53,136.0,637.88,cayenne
ind_40,1,1,3,3,2,2,2,2,1,1,2,2,2,2,1.97,114.0,47.0,21,27.0,3.13,56.9,180.33,1194.9,cayenne
ind_41,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3.33,118.0,55.59,674,3.15,0.96,1.27,32.61,853.62,tabasco
ind_42,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1.54,117.0,58.0,788,3.09,0.85,1.07,32.61,844.42,tabasco
ind_43,1,1,1,1,1,1,3,3,1,1,3,3,1,1,2.51,115.0,55.0,788,3.47,0.93,1.11,32.61,873.03,tabasco
ind_44,1,1,5,5,1,1,3,3,1,1,1,1,1,1,2.12,72.0,53.0,412,3.14,0.89,1.02,32.61,418.96,tabasco
ind_45,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.85,46.0,62.0,95,3.0,0.84,0.85,32.61,81.18,tabasco
ind_46,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3.48,122.0,49.0,715,2.96,0.87,1.01,32.61,719.72,tabasco
ind_47,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2.94,133.0,55.0,976,3.22,0.84,1.04,21.0,1014.45,tabasco
ind_48,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3.94,103.0,55.0,560,3.06,0.97,0.97,36.8,543.03,tabasco
ind_49,1,1,1,1,1,1,2,2,1,1,3,3,1,1,1.95,90.0,50.0,577,3.19,0.91,1.08,32.4,624.94,tabasco
ind_50,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2.7,114.0,53.0,312,3.41,0.81,0.86,16.2,267.51,tabasco
ind_51,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2.4,126.0,55.59,146,3.1,0.87,1.06,34.8,154.54,tabasco
ind_52,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3.16,110.0,65.0,394,2.94,0.9,1.14,32.8,450.22,tabasco
ind_53,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2.24,145.0,49.0,572,3.13,0.71,0.9,29.8,515.49,tabasco
ind_54,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2.45,98.0,63.0,401,3.17,0.92,1.14,41.4,458.58,tabasco
