pair,stem_width,stem_height,first_flower_day,fruits_number,fruit_length,fruit_diameter,fruit_weight,seeds_number,yield
ind_1_ind_2,0.9584,0.9685,0.9811,0.9968,0.9259,0.8949,0.9996,0.836,0.8653
ind_1_ind_3,0.9766,0.9291,0.6415,0.996,0.7849,0.539,0.4864,0.5023,0.6686
ind_1_ind_4,0.9974,0.9213,1.0,0.9992,0.9334,0.8814,0.9735,0.8812,0.9537
ind_1_ind_5,0.9532,0.9528,1.0,0.9944,0.9326,0.9966,0.8944,0.9246,0.7892
ind_1_ind_6,0.9481,0.9528,1.0,0.9928,0.9081,0.861,0.8634,0.9328,0.7183
ind_1_ind_7,0.9766,0.9291,0.9245,0.9984,0.9148,0.8678,0.9276,0.9328,0.9641
ind_1_ind_8,0.9948,0.9528,0.9245,0.9976,0.9089,0.7356,0.7762,0.9906,0.8102
ind_1_ind_9,0.9636,0.874,0.9245,0.9992,0.9782,0.9898,0.8629,0.9114,0.9685
ind_1_ind_10,0.9481,0.7717,0.9245,0.9968,0.8344,0.7864,0.8629,0.9246,0.8163
ind_1_ind_11,0.9299,0.8661,0.9811,0.9968,0.9909,0.8271,0.9443,0.7936,0.8453
ind_1_ind_12,0.9714,0.9055,0.9623,0.9936,0.8685,0.9831,0.9289,0.7907,0.7444
ind_1_ind_13,0.9662,0.8898,1.0,0.9992,0.9235,0.9085,0.928,0.7653,0.9263
ind_1_ind_14,0.9766,0.9528,0.9643,0.9984,0.8407,0.9017,0.9439,0.983,0.8992
ind_1_ind_15,0.9429,0.8583,0.9643,0.9968,0.9703,0.9051,0.9151,0.9293,0.8079
ind_1_ind_16,0.9299,0.7244,1.0,0.992,0.8078,0.8712,0.8717,0.7851,0.6477
ind_1_ind_17,0.9091,1.0,1.0,0.9944,0.9505,0.9322,0.9098,0.9152,0.7426
ind_1_ind_18,0.9766,0.9291,1.0,0.9992,0.893,0.9763,0.9611,0.8661,0.9848
ind_1_ind_19,0.9273,0.9528,1.0,0.9976,0.9703,0.7966,0.8877,0.8963,0.8543
ind_1_ind_20,0.9662,0.874,1.0,0.9992,0.998,0.722,0.9469,0.9246,0.941
ind_1_ind_21,0.8987,0.7638,0.8491,0.9952,0.8146,0.6678,0.535,0.9328,0.6688
ind_1_ind_22,0.9403,1.0,1.0,1.0,0.9287,0.7458,0.8248,0.9774,0.9098
ind_1_ind_23,0.9247,0.9528,0.9245,0.9984,0.9235,0.7729,0.7633,0.8925,0.8294
ind_1_ind_24,0.9948,0.9843,1.0,0.9976,0.7817,0.5153,0.5823,0.8133,0.7333
