pair,relatedness
B-4_B-7,0.0
B-4_B-9B,0.0
B-4_C-1,0.0
B-4_C-2,0.0
B-4_C-alfa,0.0
B-4_C-G,0.0
B-4_C-H,0.0
B-4_C-K,0.0
B-4_D-5,0.0
B-4_D-7,0.0
B-4_D-8,0.0
B-4_D-12,0.0
B-4_D-13,0.0
B-4_D-14,0.0
B-4_D-3.5,0.0
B-4_D-beta,0.0
B-4_E-17,0.0
B-4_E-18,0.0
B-4_E-21,0.0
B-4_E-23,0.0
B-4_F-13,0.0
B-4_G-11,0.0
B-4_G-21,0.0
B-4_H-29,0.0
B-4_H-33,0.0
B-4_C-9,0.0
B-7_B-9B,0.0
B-7_C-1,0.0
B-7_C-2,0.0
B-7_C-alfa,0.0
B-7_C-G,0.0
B-7_C-H,0.0
B-7_C-K,0.0
B-7_D-5,0.0
B-7_D-7,0.0
B-7_D-8,0.0
B-7_D-12,0.0
B-7_D-13,0.0
B-7_D-14,0.0
B-7_D-3.5,0.0
B-7_D-beta,0.0
B-7_E-17,0.0
B-7_E-18,0.0
B-7_E-21,0.0
B-7_E-23,0.0
B-7_F-13,0.0
B-7_G-11,0.0
B-7_G-21,0.0
B-7_H-29,0.0
B-7_H-33,0.0
B-7_C-9,0.0
B-9B_C-1,0.0
B-9B_C-2,0.0
B-9B_C-alfa,0.0
B-9B_C-G,0.0
B-9B_C-H,0.0
B-9B_C-K,0.0
B-9B_D-5,0.0
B-9B_D-7,0.0
B-9B_D-8,0.0
B-9B_D-12,0.0
B-9B_D-13,0.0
B-9B_D-14,0.0
B-9B_D-3.5,0.0
B-9B_D-beta,0.0
B-9B_E-17,0.0
B-9B_E-18,0.0
B-9B_E-21,0.0
B-9B_E-23,0.0
B-9B_F-13,0.0
B-9B_G-11,0.0
B-9B_G-21,0.0
B-9B_H-29,0.0
B-9B_H-33,0.0
B-9B_C-9,0.0
C-1_C-2,0.0
C-1_C-alfa,0.0
C-1_C-G,0.0
C-1_C-H,0.0
C-1_C-K,0.0
C-1_D-5,0.0
C-1_D-7,0.0
C-1_D-8,0.0
C-1_D-12,0.0
C-1_D-13,0.0
C-1_D-14,0.0
C-1_D-3.5,0.0
C-1_D-beta,0.0
C-1_E-17,0.0
C-1_E-18,0.0
C-1_E-21,0.0
C-1_E-23,0.0
C-1_F-13,0.0
C-1_G-11,0.0
C-1_G-21,0.0
C-1_H-29,0.0
C-1_H-33,0.0
C-1_C-9,0.0
C-2_C-alfa,0.0
C-2_C-G,0.0
C-2_C-H,0.0
C-2_C-K,0.0
C-2_D-5,0.0
C-2_D-7,0.0
C-2_D-8,0.0
C-2_D-12,0.0
C-2_D-13,0.0
C-2_D-14,0.0
C-2_D-3.5,0.0
C-2_D-beta,0.0
C-2_E-17,0.0
C-2_E-18,0.0
C-2_E-21,0.0
C-2_E-23,0.0
C-2_F-13,0.0
C-2_G-11,0.0
C-2_G-21,0.0
C-2_H-29,0.0
C-2_H-33,0.0
C-2_C-9,0.0
C-alfa_C-G,0.0
C-alfa_C-H,0.0
C-alfa_C-K,0.0
C-alfa_D-5,0.0
C-alfa_D-7,0.0
C-alfa_D-8,0.0
C-alfa_D-12,0.0
C-alfa_D-13,0.0
C-alfa_D-14,0.0
C-alfa_D-3.5,0.0
C-alfa_D-beta,0.0
C-alfa_E-17,0.0
C-alfa_E-18,0.0
C-alfa_E-21,0.0
C-alfa_E-23,0.0
C-alfa_F-13,0.0
C-alfa_G-11,0.0
C-alfa_G-21,0.0
C-alfa_H-29,0.0
C-alfa_H-33,0.0
C-alfa_C-9,0.0
C-G_C-H,0.0
C-G_C-K,0.0
C-G_D-5,0.0
C-G_D-7,0.0
C-G_D-8,0.0
C-G_D-12,0.0
C-G_D-13,0.0
