"Variety_ID","Experiment","parent1","Code_ID","Accession_ID","geno.panel","grain.yield","grain.number","seed.size","anthesis","silking","plant.height","tassel.height","ear.height","year","loc","scenarioWater","scenarioTemp","scenarioFull","geneticGroup"
"11430","Kar12W","11430_usda",3101,"11430_H","DROPS",10.1692127756,4188.3861247805,275.5742157772,62.7116302405,63.3894882369,254.2507929651,301.5802934969,146.9885130806,"2012","Kar","WW","Cool","WW.Cool","Iodent"
"11430","Gai12W","11430_usda",3101,"11430_H","DROPS",11.7116362414,4489.6318103673,305.7103372876,64.2382283863,63.6649250129,229.106714751,291.9459743305,107.3826708422,"2012","Gai","WW","Cool","WW.Cool","Iodent"
"11430","Kar13W","11430_usda",3101,"11430_H","DROPS",8.6660940664,3220.3615009871,309.8267266125,66.6185245957,65.4242251034,256.0652943005,294.7850030323,140.0692111854,"2013","Kar","WW","Hot(Day)","WW.Hot(Day)","Iodent"
"11430","Ner12R","11430_usda",3101,"11430_H","DROPS",5.2219209125,2197.5821894327,272.2447189037,68.1549812197,75.5813191283,196.8361571418,NA,112.9856294604,"2012","Ner","WD","Hot(Day)","WD.Hot(Day)","Iodent"
"11430","Mar13R","11430_usda",3101,"11430_H","DROPS",7.9485064874,2105.1887567794,376.7751052769,63.1556890549,68.0199080204,241.4757892381,273.7497210334,97.7546332811,"2013","Mar","WD","Hot(Day)","WD.Hot(Day)","Iodent"
"11430","Mur13R","11430_usda",3101,"11430_H","DROPS",5.2624329641,2090.0945186671,298.2392403106,59.3774086149,64.2850392687,237.2789027028,NA,116.9297854755,"2013","Mur","WW","Hot","WW.Hot","Iodent"
"11430","Cra12R","11430_usda",3101,"11430_H","DROPS",0.6384974552,198.2506866221,262.7634000988,70.1384477953,72.0432546202,112.5216284861,153.2201247312,50.0132936108,"2012","Cra","WD","Hot","WD.Hot","Iodent"
"11430","Cam12R","11430_usda",3101,"11430_H","DROPS",1.3140550111,439.1951674023,NA,70.6513357897,79.9764076757,119.0335728572,153.3770198477,65.2742203749,"2012","Cam","WD","Hot","WD.Hot","Iodent"
"11430","Kar13R","11430_usda",3101,"11430_H","DROPS",10.7150877871,3898.7467881562,326.7735972664,67.3387971258,64.9973785319,251.4388827113,NA,122.3322451032,"2013","Kar","WW","Hot(Day)","WW.Hot(Day)","Iodent"
"11430","Mur13W","11430_usda",3101,"11430_H","DROPS",5.4943054257,2421.5211668644,274.7396126912,60.9065814233,63.4995791375,244.8691869101,NA,123.4184924427,"2013","Mur","WW","Hot","WW.Hot","Iodent"
