SUBJECT.NAME,Obesity.BodyLength
A048005080,8.2
A048006063,8.2
A048006555,8.1
A048007096,7.6
A048010273,7.8
A048010371,6.7
A048011040,6.0
A048011287,8.8
A048011567,8.2
A048013559,7.5
A048015047,6.9
A048017615,8.1
A048021023,7.6
A048022858,8.5
A048023355,7.8
A048028854,8.2
A048028871,7.5
A048029086,7.5
A048031067,7.0
A048031355,8.0
A048031545,7.0
A048031822,8.6
A048032099,7.7
A048032883,6.6
A048033069,7.4
A048033354,7.2
A048033618,8.1
A048034836,7.8
A048035291,7.1
A048035543,7.7
A048035553,7.1
A048035776,7.4
A048036063,7.7
A048036259,8.0
A048037297,7.5
A048038018,7.9
A048040045,7.0
A048040526,7.8
A048041122,6.9
A048041606,7.1
A048042298,6.9
A048042578,8.3
A048042626,7.6
A048042870,8.4
A048043004,6.7
A048043525,7.8
A048043833,8.5
A048044830,7.6
A048045845,7.5
A048047040,7.2
A048047298,6.2
A048048118,6.9
A048050779,7.1
A048050833,7.5
A048051064,8.0
A048051824,8.1
A048052595,8.0
A048053604,7.5
A048053821,7.7
A048053860,7.1
A048054628,6.0
A048054885,8.3
A048055081,7.4
A048055545,7.1
A048056266,7.2
A048056786,7.8
A048057565,6.4
A048057587,7.2
A048057608,7.5
A048057823,7.2
A048057883,8.6
A048058070,7.7
A048058769,8.2
A048058856,7.4
A048058878,7.5
A048059097,7.4
A048059117,8.0
A048059602,7.5
A048059836,8.0
A048060314,8.3
A048061051,7.0
A048061341,8.0
A048061513,7.5
A048061517,6.6
A048061864,6.7
A048062325,7.2
A048063276,8.0
A048063277,7.5
A048063778,6.7
A048064308,6.3
A048065035,7.5
A048066343,7.2
A048066594,8.7
A048067278,6.7
A048067529,7.7
A048067791,8.0
A048067887,6.7
A048068026,6.7
A048068077,7.8
A048068368,6.3
A048069001,7.0
A048069049,6.3
A048069514,7.8
A048070376,6.9
A048071106,7.5
A048071579,7.9
A048072087,8.1
A048072266,7.2
A048072521,7.4
A048072595,7.7
A048073291,7.3
A048073633,7.5
A048074553,5.9
A048075265,6.9
A048075614,6.3
A048076630,7.2
A048076855,7.3
A048077032,7.9
A048078862,7.1
A048079075,7.0
A048079842,8.1
A048080339,7.8
A048080582,7.1
A048081308,7.3
A048082329,7.9
A048082363,7.3
A048082370,6.8
A048083047,8.2
A048083517,7.7
A048083604,7.8
A048084065,7.0
A048084549,7.5
A048084850,8.3
A048085283,7.5
A048085379,7.5
A048086093,6.9
A048086277,7.5
A048086793,7.4
A048086841,8.0
A048087831,7.5
A048088520,7.3
A048089538,7.0
A048090850,6.8
A048092264,7.5
A048092534,7.7
A048092536,7.9
A048093042,7.0
A048093342,8.2
A048093528,7.5
A048094060,7.3
A048094368,7.7
A048094867,8.2
