pair,relatedness
R_icteronotus_02_R_icteronotus_04,0.0
R_icteronotus_02_R_icteronotus_05,0.0
R_icteronotus_02_R_icteronotus_06,0.1667
R_icteronotus_02_R_icteronotus_07,0.0
R_icteronotus_02_R_icteronotus_08,0.0
R_icteronotus_02_R_icteronotus_09,0.0
R_icteronotus_02_R_icteronotus_10,0.1667
R_icteronotus_02_R_icteronotus_11,0.1667
R_icteronotus_02_R_icteronotus_12,0.0
R_icteronotus_02_R_icteronotus_13,0.0
R_icteronotus_02_R_icteronotus_14,0.1667
R_icteronotus_02_R_icteronotus_15,0.0
R_icteronotus_02_R_icteronotus_16,0.1667
R_icteronotus_02_R_icteronotus_17,0.1667
R_icteronotus_02_R_icteronotus_18,0.0
R_icteronotus_02_R_icteronotus_22,0.0
R_icteronotus_02_R_icteronotus_23,0.0
R_icteronotus_02_R_icteronotus_24,0.0
R_icteronotus_02_R_icteronotus_26,0.0
R_icteronotus_02_R_icteronotus_28,0.0
R_icteronotus_02_R_icteronotus_50,0.0
R_icteronotus_02_R_icteronotus_51,0.0
R_icteronotus_02_R_icteronotus_52,0.0
R_icteronotus_02_R_icteronotus_53,0.1667
R_icteronotus_04_R_icteronotus_05,0.6667
R_icteronotus_04_R_icteronotus_06,0.0
R_icteronotus_04_R_icteronotus_07,0.0
R_icteronotus_04_R_icteronotus_08,0.1667
R_icteronotus_04_R_icteronotus_09,0.1667
R_icteronotus_04_R_icteronotus_10,0.0
R_icteronotus_04_R_icteronotus_11,0.3333
R_icteronotus_04_R_icteronotus_12,0.5
R_icteronotus_04_R_icteronotus_13,0.0
R_icteronotus_04_R_icteronotus_14,0.0
R_icteronotus_04_R_icteronotus_15,0.5
R_icteronotus_04_R_icteronotus_16,0.1667
R_icteronotus_04_R_icteronotus_17,0.0
R_icteronotus_04_R_icteronotus_18,0.0
R_icteronotus_04_R_icteronotus_22,0.1667
R_icteronotus_04_R_icteronotus_23,0.1667
R_icteronotus_04_R_icteronotus_24,0.0
R_icteronotus_04_R_icteronotus_26,0.1667
R_icteronotus_04_R_icteronotus_28,0.1667
R_icteronotus_04_R_icteronotus_50,0.0
R_icteronotus_04_R_icteronotus_51,0.0
R_icteronotus_04_R_icteronotus_52,0.1667
R_icteronotus_04_R_icteronotus_53,0.0
R_icteronotus_05_R_icteronotus_06,0.0
R_icteronotus_05_R_icteronotus_07,0.0
R_icteronotus_05_R_icteronotus_08,0.1667
R_icteronotus_05_R_icteronotus_09,0.1667
R_icteronotus_05_R_icteronotus_10,0.0
R_icteronotus_05_R_icteronotus_11,0.1667
R_icteronotus_05_R_icteronotus_12,0.3333
R_icteronotus_05_R_icteronotus_13,0.0
R_icteronotus_05_R_icteronotus_14,0.1667
R_icteronotus_05_R_icteronotus_15,0.3333
R_icteronotus_05_R_icteronotus_16,0.0
R_icteronotus_05_R_icteronotus_17,0.0
R_icteronotus_05_R_icteronotus_18,0.1667
R_icteronotus_05_R_icteronotus_22,0.1667
R_icteronotus_05_R_icteronotus_23,0.0
R_icteronotus_05_R_icteronotus_24,0.0
R_icteronotus_05_R_icteronotus_26,0.0
R_icteronotus_05_R_icteronotus_28,0.3333
R_icteronotus_05_R_icteronotus_50,0.1667
R_icteronotus_05_R_icteronotus_51,0.1667
R_icteronotus_05_R_icteronotus_52,0.1667
R_icteronotus_05_R_icteronotus_53,0.1667
R_icteronotus_06_R_icteronotus_07,0.1667
R_icteronotus_06_R_icteronotus_08,0.1667
R_icteronotus_06_R_icteronotus_09,0.1667
R_icteronotus_06_R_icteronotus_10,0.1667
R_icteronotus_06_R_icteronotus_11,0.3333
R_icteronotus_06_R_icteronotus_12,0.0
R_icteronotus_06_R_icteronotus_13,0.0
R_icteronotus_06_R_icteronotus_14,0.1667
R_icteronotus_06_R_icteronotus_15,0.0
R_icteronotus_06_R_icteronotus_16,0.3333
R_icteronotus_06_R_icteronotus_17,0.0
R_icteronotus_06_R_icteronotus_18,0.1667
R_icteronotus_06_R_icteronotus_22,0.1667
R_icteronotus_06_R_icteronotus_23,0.0
R_icteronotus_06_R_icteronotus_24,0.0
R_icteronotus_06_R_icteronotus_26,0.0
R_icteronotus_06_R_icteronotus_28,0.0
R_icteronotus_06_R_icteronotus_50,0.0
R_icteronotus_06_R_icteronotus_51,0.0
R_icteronotus_06_R_icteronotus_52,0.0
R_icteronotus_06_R_icteronotus_53,0.1667
R_icteronotus_07_R_icteronotus_08,0.1667
R_icteronotus_07_R_icteronotus_09,0.0
R_icteronotus_07_R_icteronotus_10,0.3333
R_icteronotus_07_R_icteronotus_11,0.1667
R_icteronotus_07_R_icteronotus_12,0.0
R_icteronotus_07_R_icteronotus_13,0.0
R_icteronotus_07_R_icteronotus_14,0.0
R_icteronotus_07_R_icteronotus_15,0.0
R_icteronotus_07_R_icteronotus_16,0.1667
R_icteronotus_07_R_icteronotus_17,0.0
R_icteronotus_07_R_icteronotus_18,0.1667
R_icteronotus_07_R_icteronotus_22,0.0
R_icteronotus_07_R_icteronotus_23,0.1667
R_icteronotus_07_R_icteronotus_24,0.0
R_icteronotus_07_R_icteronotus_26,0.0
R_icteronotus_07_R_icteronotus_28,0.0
R_icteronotus_07_R_icteronotus_50,0.1667
R_icteronotus_07_R_icteronotus_51,0.0
R_icteronotus_07_R_icteronotus_52,0.3333
R_icteronotus_07_R_icteronotus_53,0.1667
R_icteronotus_08_R_icteronotus_09,0.5
R_icteronotus_08_R_icteronotus_10,0.0
R_icteronotus_08_R_icteronotus_11,0.0
R_icteronotus_08_R_icteronotus_12,0.1667
R_icteronotus_08_R_icteronotus_13,0.0
R_icteronotus_08_R_icteronotus_14,0.0
R_icteronotus_08_R_icteronotus_15,0.1667
R_icteronotus_08_R_icteronotus_16,0.0
R_icteronotus_08_R_icteronotus_17,0.0
R_icteronotus_08_R_icteronotus_18,0.0
R_icteronotus_08_R_icteronotus_22,0.5
R_icteronotus_08_R_icteronotus_23,0.0
R_icteronotus_08_R_icteronotus_24,0.0
R_icteronotus_08_R_icteronotus_26,0.0
R_icteronotus_08_R_icteronotus_28,0.1667
R_icteronotus_08_R_icteronotus_50,0.0
R_icteronotus_08_R_icteronotus_51,0.0
R_icteronotus_08_R_icteronotus_52,0.0
R_icteronotus_08_R_icteronotus_53,0.0
R_icteronotus_09_R_icteronotus_10,0.0
R_icteronotus_09_R_icteronotus_11,0.0
R_icteronotus_09_R_icteronotus_12,0.1667
R_icteronotus_09_R_icteronotus_13,0.0
R_icteronotus_09_R_icteronotus_14,0.0
R_icteronotus_09_R_icteronotus_15,0.1667
R_icteronotus_09_R_icteronotus_16,0.0
R_icteronotus_09_R_icteronotus_17,0.0
R_icteronotus_09_R_icteronotus_18,0.0
R_icteronotus_09_R_icteronotus_22,0.3333
R_icteronotus_09_R_icteronotus_23,0.0
R_icteronotus_09_R_icteronotus_24,0.0
R_icteronotus_09_R_icteronotus_26,0.0
R_icteronotus_09_R_icteronotus_28,0.1667
R_icteronotus_09_R_icteronotus_50,0.0
R_icteronotus_09_R_icteronotus_51,0.0
R_icteronotus_09_R_icteronotus_52,0.0
R_icteronotus_09_R_icteronotus_53,0.0
R_icteronotus_10_R_icteronotus_11,0.1667
R_icteronotus_10_R_icteronotus_12,0.0
R_icteronotus_10_R_icteronotus_13,0.0
R_icteronotus_10_R_icteronotus_14,0.0
R_icteronotus_10_R_icteronotus_15,0.0
R_icteronotus_10_R_icteronotus_16,0.1667
R_icteronotus_10_R_icteronotus_17,0.0
R_icteronotus_10_R_icteronotus_18,0.1667
R_icteronotus_10_R_icteronotus_22,0.0
R_icteronotus_10_R_icteronotus_23,0.1667
R_icteronotus_10_R_icteronotus_24,0.0
R_icteronotus_10_R_icteronotus_26,0.1667
R_icteronotus_10_R_icteronotus_28,0.0
R_icteronotus_10_R_icteronotus_50,0.1667
R_icteronotus_10_R_icteronotus_51,0.0
R_icteronotus_10_R_icteronotus_52,0.1667
R_icteronotus_10_R_icteronotus_53,0.1667
R_icteronotus_11_R_icteronotus_12,0.0
R_icteronotus_11_R_icteronotus_13,0.0
R_icteronotus_11_R_icteronotus_14,0.1667
R_icteronotus_11_R_icteronotus_15,0.1667
R_icteronotus_11_R_icteronotus_16,0.5
R_icteronotus_11_R_icteronotus_17,0.0
R_icteronotus_11_R_icteronotus_18,0.3333
R_icteronotus_11_R_icteronotus_22,0.0
R_icteronotus_11_R_icteronotus_23,0.1667
R_icteronotus_11_R_icteronotus_24,0.0
R_icteronotus_11_R_icteronotus_26,0.0
R_icteronotus_11_R_icteronotus_28,0.0
R_icteronotus_11_R_icteronotus_50,0.0
R_icteronotus_11_R_icteronotus_51,0.0
R_icteronotus_11_R_icteronotus_52,0.0
R_icteronotus_11_R_icteronotus_53,0.1667
R_icteronotus_12_R_icteronotus_13,0.1667
R_icteronotus_12_R_icteronotus_14,0.0
R_icteronotus_12_R_icteronotus_15,0.3333
R_icteronotus_12_R_icteronotus_16,0.0
R_icteronotus_12_R_icteronotus_17,0.0
R_icteronotus_12_R_icteronotus_18,0.0
R_icteronotus_12_R_icteronotus_22,0.1667
R_icteronotus_12_R_icteronotus_23,0.0
R_icteronotus_12_R_icteronotus_24,0.0
R_icteronotus_12_R_icteronotus_26,0.3333
R_icteronotus_12_R_icteronotus_28,0.1667
R_icteronotus_12_R_icteronotus_50,0.0
R_icteronotus_12_R_icteronotus_51,0.0
R_icteronotus_12_R_icteronotus_52,0.1667
R_icteronotus_12_R_icteronotus_53,0.0
R_icteronotus_13_R_icteronotus_14,0.0
R_icteronotus_13_R_icteronotus_15,0.0
R_icteronotus_13_R_icteronotus_16,0.0
R_icteronotus_13_R_icteronotus_17,0.1667
R_icteronotus_13_R_icteronotus_18,0.0
R_icteronotus_13_R_icteronotus_22,0.0
R_icteronotus_13_R_icteronotus_23,0.0
R_icteronotus_13_R_icteronotus_24,0.0
R_icteronotus_13_R_icteronotus_26,0.1667
R_icteronotus_13_R_icteronotus_28,0.1667
R_icteronotus_13_R_icteronotus_50,0.0
R_icteronotus_13_R_icteronotus_51,0.1667
R_icteronotus_13_R_icteronotus_52,0.0
R_icteronotus_13_R_icteronotus_53,0.1667
R_icteronotus_14_R_icteronotus_15,0.0
R_icteronotus_14_R_icteronotus_16,0.1667
R_icteronotus_14_R_icteronotus_17,0.1667
R_icteronotus_14_R_icteronotus_18,0.1667
R_icteronotus_14_R_icteronotus_22,0.0
R_icteronotus_14_R_icteronotus_23,0.1667
R_icteronotus_14_R_icteronotus_24,0.0
R_icteronotus_14_R_icteronotus_26,0.0
R_icteronotus_14_R_icteronotus_28,0.1667
R_icteronotus_14_R_icteronotus_50,0.1667
R_icteronotus_14_R_icteronotus_51,0.1667
R_icteronotus_14_R_icteronotus_52,0.0
R_icteronotus_14_R_icteronotus_53,0.1667
R_icteronotus_15_R_icteronotus_16,0.1667
R_icteronotus_15_R_icteronotus_17,0.0
R_icteronotus_15_R_icteronotus_18,0.0
R_icteronotus_15_R_icteronotus_22,0.1667
R_icteronotus_15_R_icteronotus_23,0.3333
R_icteronotus_15_R_icteronotus_24,0.0
R_icteronotus_15_R_icteronotus_26,0.0
R_icteronotus_15_R_icteronotus_28,0.1667
R_icteronotus_15_R_icteronotus_50,0.0
R_icteronotus_15_R_icteronotus_51,0.0
R_icteronotus_15_R_icteronotus_52,0.1667
R_icteronotus_15_R_icteronotus_53,0.0
R_icteronotus_16_R_icteronotus_17,0.0
R_icteronotus_16_R_icteronotus_18,0.1667
R_icteronotus_16_R_icteronotus_22,0.0
R_icteronotus_16_R_icteronotus_23,0.1667
R_icteronotus_16_R_icteronotus_24,0.0
R_icteronotus_16_R_icteronotus_26,0.0
R_icteronotus_16_R_icteronotus_28,0.0
R_icteronotus_16_R_icteronotus_50,0.0
R_icteronotus_16_R_icteronotus_51,0.0
R_icteronotus_16_R_icteronotus_52,0.0
R_icteronotus_16_R_icteronotus_53,0.1667
R_icteronotus_17_R_icteronotus_18,0.0
R_icteronotus_17_R_icteronotus_22,0.0
R_icteronotus_17_R_icteronotus_23,0.0
R_icteronotus_17_R_icteronotus_24,0.0
R_icteronotus_17_R_icteronotus_26,0.0
R_icteronotus_17_R_icteronotus_28,0.0
R_icteronotus_17_R_icteronotus_50,0.0
R_icteronotus_17_R_icteronotus_51,0.1667
R_icteronotus_17_R_icteronotus_52,0.0
R_icteronotus_17_R_icteronotus_53,0.3333
R_icteronotus_18_R_icteronotus_22,0.0
R_icteronotus_18_R_icteronotus_23,0.1667
R_icteronotus_18_R_icteronotus_24,0.0
R_icteronotus_18_R_icteronotus_26,0.0
R_icteronotus_18_R_icteronotus_28,0.1667
R_icteronotus_18_R_icteronotus_50,0.3333
R_icteronotus_18_R_icteronotus_51,0.1667
R_icteronotus_18_R_icteronotus_52,0.0
R_icteronotus_18_R_icteronotus_53,0.3333
R_icteronotus_22_R_icteronotus_23,0.0
R_icteronotus_22_R_icteronotus_24,0.0
R_icteronotus_22_R_icteronotus_26,0.0
R_icteronotus_22_R_icteronotus_28,0.1667
R_icteronotus_22_R_icteronotus_50,0.1667
R_icteronotus_22_R_icteronotus_51,0.0
R_icteronotus_22_R_icteronotus_52,0.0
R_icteronotus_22_R_icteronotus_53,0.0
R_icteronotus_23_R_icteronotus_24,0.0
R_icteronotus_23_R_icteronotus_26,0.0
R_icteronotus_23_R_icteronotus_28,0.0
R_icteronotus_23_R_icteronotus_50,0.1667
R_icteronotus_23_R_icteronotus_51,0.0
R_icteronotus_23_R_icteronotus_52,0.1667
R_icteronotus_23_R_icteronotus_53,0.0
R_icteronotus_24_R_icteronotus_26,0.0
R_icteronotus_24_R_icteronotus_28,0.0
R_icteronotus_24_R_icteronotus_50,0.0
R_icteronotus_24_R_icteronotus_51,0.0
R_icteronotus_24_R_icteronotus_52,0.0
R_icteronotus_24_R_icteronotus_53,0.0
R_icteronotus_26_R_icteronotus_28,0.0
R_icteronotus_26_R_icteronotus_50,0.0
R_icteronotus_26_R_icteronotus_51,0.0
R_icteronotus_26_R_icteronotus_52,0.0
R_icteronotus_26_R_icteronotus_53,0.0
R_icteronotus_28_R_icteronotus_50,0.1667
R_icteronotus_28_R_icteronotus_51,0.1667
R_icteronotus_28_R_icteronotus_52,0.1667
R_icteronotus_28_R_icteronotus_53,0.1667
R_icteronotus_50_R_icteronotus_51,0.5
R_icteronotus_50_R_icteronotus_52,0.1667
R_icteronotus_50_R_icteronotus_53,0.1667
R_icteronotus_51_R_icteronotus_52,0.0
R_icteronotus_51_R_icteronotus_53,0.3333
R_icteronotus_52_R_icteronotus_53,0.0
