pair,relatedness
B-4_B-7,-0.1604
B-4_B-9B,-0.1869
B-4_C-1,0.7179
B-4_C-2,-0.0688
B-4_C-alfa,-0.1577
B-4_C-G,-0.1534
B-4_C-H,0.0194
B-4_C-K,-0.222
B-4_D-5,-0.1107
B-4_D-7,0.8909
B-4_D-8,-0.1419
B-4_D-12,0.8836
B-4_D-13,-0.1437
B-4_D-14,-0.0839
B-4_D-3.5,-0.1004
B-4_D-beta,-0.0925
B-4_E-17,-0.157
B-4_E-18,-0.2317
B-4_E-21,-0.137
B-4_E-23,-0.1446
B-4_F-13,-0.2144
B-4_G-11,-0.1437
B-4_G-21,-0.2422
B-4_H-29,0.8228
B-4_H-33,-0.2218
B-4_C-9,0.8747
B-7_B-9B,0.8741
B-7_C-1,-0.1301
B-7_C-2,-0.1715
B-7_C-alfa,0.8966
B-7_C-G,0.8509
B-7_C-H,-0.3325
B-7_C-K,-0.2759
B-7_D-5,-0.1623
B-7_D-7,-0.1728
B-7_D-8,0.838
B-7_D-12,-0.2426
B-7_D-13,0.8794
B-7_D-14,-0.1452
B-7_D-3.5,-0.1869
B-7_D-beta,-0.1886
B-7_E-17,0.8636
B-7_E-18,-0.2906
B-7_E-21,0.8729
B-7_E-23,0.8608
B-7_F-13,-0.2795
B-7_G-11,0.8794
B-7_G-21,-0.301
B-7_H-29,-0.1803
B-7_H-33,-0.2938
B-7_C-9,-0.1852
B-9B_C-1,-0.1469
B-9B_C-2,-0.1189
B-9B_C-alfa,0.8432
B-9B_C-G,0.7977
B-9B_C-H,-0.2835
B-9B_C-K,-0.2497
B-9B_D-5,-0.1453
B-9B_D-7,-0.1996
B-9B_D-8,0.8125
B-9B_D-12,-0.2642
B-9B_D-13,0.8591
B-9B_D-14,-0.127
B-9B_D-3.5,-0.1384
B-9B_D-beta,-0.1409
B-9B_E-17,0.8383
B-9B_E-18,-0.2504
B-9B_E-21,0.8464
B-9B_E-23,0.8381
B-9B_F-13,-0.2384
B-9B_G-11,0.8591
B-9B_G-21,-0.26
B-9B_H-29,-0.2221
B-9B_H-33,-0.2534
B-9B_C-9,-0.2123
C-1_C-2,-0.0427
C-1_C-alfa,-0.1139
C-1_C-G,-0.1137
C-1_C-H,-0.0039
C-1_C-K,-0.2845
C-1_D-5,-0.0889
C-1_D-7,0.781
C-1_D-8,-0.1175
C-1_D-12,0.7727
C-1_D-13,-0.1418
C-1_D-14,-0.0471
C-1_D-3.5,-0.0777
C-1_D-beta,-0.0704
C-1_E-17,-0.1183
C-1_E-18,-0.2736
C-1_E-21,-0.0988
C-1_E-23,-0.1444
C-1_F-13,-0.2669
C-1_G-11,-0.1139
C-1_G-21,-0.2963
C-1_H-29,0.7807
C-1_H-33,-0.252
C-1_C-9,0.764
C-2_C-alfa,-0.1197
C-2_C-G,-0.0627
C-2_C-H,-0.1582
C-2_C-K,-0.0884
C-2_D-5,0.8634
C-2_D-7,-0.0561
C-2_D-8,-0.1619
C-2_D-12,-0.052
C-2_D-13,-0.1523
C-2_D-14,0.8157
C-2_D-3.5,0.8729
C-2_D-beta,0.8839
C-2_E-17,-0.2023
C-2_E-18,-0.0982
C-2_E-21,-0.1771
C-2_E-23,-0.1752
C-2_F-13,-0.0818
C-2_G-11,-0.1523
C-2_G-21,-0.1178
C-2_H-29,-0.1003
C-2_H-33,-0.1042
C-2_C-9,-0.0703
C-alfa_C-G,0.8522
C-alfa_C-H,-0.2792
C-alfa_C-K,-0.2455
C-alfa_D-5,-0.1446
C-alfa_D-7,-0.1698
C-alfa_D-8,0.7926
C-alfa_D-12,-0.2384
C-alfa_D-13,0.9152
C-alfa_D-14,-0.1272
C-alfa_D-3.5,-0.1381
