"","x"
"0",0
"92",1
"100",2
"106",3
"107",4
"108",5
"110",6
"112",7
"113",8
"114",9
"116",10
"118",11
"119",12
"120",13
"121",14
"122",15
"124",16
"125",17
"126",18
"128",19
"129",20
"131",21
"134",22
"136",23
"137",24
"138",25
"139",26
"140",27
"141",28
"144",29
"145",30
"146",31
"149",32
"151",33
"152",34
"153",35
"155",36
"157",37
"159",38
"160",39
"161",40
"163",41
"165",42
"167",43
"169",44
"171",45
"173",46
"175",47
"177",48
"181",49
"183",50
"185",51
"187",52
"189",53
"192",54
"193",55
"195",56
"197",57
"200",58
"201",59
"204",60
"205",61
"208",62
"209",63
"212",64
"213",65
"216",66
"217",67
"220",68
"221",69
"223",70
"224",71
"225",72
"227",73
"228",74
"229",75
"231",76
"232",77
"233",78
"236",79
"237",80
"239",81
"240",82
"241",83
"244",84
"245",85
"248",86
"249",87
"252",88
"253",89
"256",90
"257",91
"261",92
"265",93
"267",94
"269",95
"271",96
"273",97
"277",98
"279",99
"287",100
"295",101
"297",102
"301",103
"303",104
"304",105
"305",106
"315",107
"324",108
"328",109
"333",110
"336",111
"337",112
"341",113
"373",114
"377",115
"385",116
"389",117
