Individual,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
R_dimidiatus_20,0,170,220,76,70,21.4,0,14.9,12.2,8.1
R_dimidiatus_21,41,184,221,75,70,26.5,0,15.8,10.8,8.3
R_dimidiatus_24,28,149,182,73,65,22.5,0,14.1,12.3,9.7
R_dimidiatus_27,28,160,235,80,70,20.4,0,14.7,13.7,8.1
R_dimidiatus_30,29,165,205,79,69,23.2,0,19.6,15.6,9.9
R_dimidiatus_33,27,170,250,70,72,27.8,0,15.6,13.3,8
R_dimidiatus_36,0,177,256,80,70,23.7,15.3,11.5,14.3,9.2
R_dimidiatus_37,28,165,250,78,72,24.5,10,12.3,14.7,10
R_dimidiatus_38,29,170,245,72,65,24.2,11,13.3,12.7,9.2
R_dimidiatus_40,22,175,249,78,71,21.7,10.5,12.6,9,13.6
R_dimidiatus_41,29,170,247,80,82,20.3,12.5,14,7.6,13.9
R_dimidiatus_42,25,165,240,70,70,22.8,9.9,13.1,7.4,10.9
R_dimidiatus_43,22,170,235,75,70,19.4,13,14.6,8.5,12.8
R_dimidiatus_44,30,160,230,76,66,21,11,13.8,13.3,7.2
R_dimidiatus_45,35,170,250,80,70,21.3,11.5,14.8,12.4,9.5
R_dimidiatus_47,27,175,210,73,70,18.4,12,15,11.3,11.3
R_dimidiatus_49,34,130,250,80,0,21.9,12.5,15.8,11.9,8.1
R_dimidiatus_52,27,175,235,80,80,29.8,12.4,18.1,13,8.8
R_dimidiatus_53,15,182,250,82,76,20.8,11.7,17,11.6,8.4
R_dimidiatus_59,26,178,243,76,76,19.05,12.21,18.65,12.49,9.21
R_dimidiatus_65,27,170,234,78,77,20.06,11.23,14.99,13.4,9.15
R_dimidiatus_66,24,176,224,78,72,19.82,11.62,17.8,13.28,9.02
R_dimidiatus_67,30,173,232,76,72,18.93,12.45,18.04,12.59,8.43
R_dimidiatus_68,30,171,243,80,66,20.98,12.32,16.17,12.36,9.52
R_dimidiatus_69,26,174,246,80,71,19.94,12.5,17.36,12.73,9.6
R_dimidiatus_70,25,177,241,78,72,21.2,12.24,18.75,12.04,9.94
R_dimidiatus_72,24,136,246,82,72,25.73,12.31,14.59,12.72,9.33
R_dimidiatus_74,27,174,244,78,73,19.2,12.23,16.25,12.06,9.57
R_dimidiatus_76,27,175,250,79,78,19.17,12.87,16.25,11.8,8.95
R_dimidiatus_77,29,171,248,80,71,17.09,12.12,15.19,11.78,8.88
R_dimidiatus_78,23,170,246,78,76,21.12,12.55,14.51,12.84,9.51
R_dimidiatus_80,26,165,250,79,78,20.21,12.29,17.46,11.68,9.1
R_dimidiatus_83,29,165,245,79,70,18.74,13.14,17.24,11.43,8.99
R_dimidiatus_84,24,165,240,77,77,21.13,13.34,16.86,11.55,9.41
R_dimidiatus_85,25,165,244,78,73,21.19,11.75,16.54,12.23,8.71
R_dimidiatus_86,30,169,242,77,67,20.19,11.93,17.18,11.93,10.16
R_dimidiatus_90,22,162,234,76,66,18.4,11.64,16.92,11.77,9.17
R_dimidiatus_98,25,168,248,82,69,18.89,12.83,19.93,12.81,9.97
R_dimidiatus_102,25,169,247,77,74,20.79,12.29,16.47,11.8,8.88
R_dimidiatus_106,27,175,235,77,73,18.6,12.97,17.83,12.6,9.2
R_dimidiatus_200,11,100,140,63,36,20.0,0,5.00,7.0,10.0
R_dimidiatus_201,25,152,202,72,58,19.0,0,14.0,6.0,7.0
R_dimidiatus_203,25,157,190,87,71,17.0,0,13.0,14.0,10.0
R_dimidiatus_204,30,162,226,80,64,21.25,0,16.97,12.91,9.58
R_dimidiatus_205,24,160,228,75,71,18.13,0,15.69,13.78,10.15
R_icteronotus_02,36,184,215,77,68,26.2,0,16.4,10.6,7.6
R_icteronotus_04,22,180,242,79,83,24,12,13.8,9.5,8.4
R_icteronotus_05,38,170,253,80,80,26,12.4,12.6,10,8.5
R_icteronotus_06,34,180,260,80,83,22.6,14,14.7,12.9,8.3
R_icteronotus_07,36,180,245,85,80,21.5,13.8,16.6,13,9.1
R_icteronotus_08,0,180,250,75,75,21.8,12.1,14.5,12.1,8.8
R_icteronotus_09,40,183,232,75,81,26.4,13.1,14.4,11.3,9
R_icteronotus_10,33,192,235,85,80,23.3,14.9,15.3,11.6,7.2
R_icteronotus_11,35,182,270,88,76,23.85,13.27,20.02,14.14,10.01
R_icteronotus_12,36,186,260,84,82,24.13,14.41,18.81,13.5,8.52
R_icteronotus_13,35,183,248,83,83,17.5,15.01,18.96,13.06,9.31
R_icteronotus_14,37,174,244,83,75,23,16,15.03,10.13,11
R_icteronotus_15,32,172,242,79,72.5,20.87,13.5,18.17,11.96,8.32
R_icteronotus_16,38,170,270,88,79,23.35,13.53,17.45,11.38,8.72
R_icteronotus_17,36,165,272,87,81,21.45,15.45,19.59,11.55,9.86
R_icteronotus_18,34,176,273,84,78,21.63,14.28,19.65,12.91,8.82
R_icteronotus_22,32,169,265,83,75,23.22,13.39,18.88,11.64,7.85
R_icteronotus_23,36,170,260,84,74,22.18,13.64,16.93,11.88,8.95
R_icteronotus_24,35,173,268,85,77,20.25,14.94,18.07,12.05,8.06
R_icteronotus_26,32,177.5,249.8,81.5,78.05,23.16,13.80,16.18,11.67,8.67
R_icteronotus_28,20,170,250,78,74,21.72,13.83,16.91,12.6,8.17
R_icteronotus_50,41,179,246,79,69,24.56,0,10.1,14.49,7.65
