"","x"
"0",0
"92",1
"100",2
"107",3
"108",4
"110",5
"112",6
"113",7
"114",8
"116",9
"118",10
"119",11
"120",12
"121",13
"122",14
"124",15
"125",16
"126",17
"128",18
"129",19
"131",20
"134",21
"136",22
"137",23
"138",24
"139",25
"140",26
"141",27
"144",28
"145",29
"146",30
"149",31
"151",32
"152",33
"153",34
"155",35
"157",36
"159",37
"160",38
"161",39
"163",40
"165",41
"167",42
"169",43
"171",44
"173",45
"175",46
"177",47
"181",48
"183",49
"185",50
"187",51
"189",52
"193",53
"195",54
"197",55
"200",56
"201",57
"204",58
"205",59
"208",60
"209",61
"212",62
"213",63
"216",64
"217",65
"220",66
"221",67
"223",68
"224",69
"225",70
"227",71
"228",72
"229",73
"232",74
"236",75
"237",76
"240",77
"241",78
"244",79
"245",80
"248",81
"249",82
"252",83
"253",84
"256",85
"257",86
"261",87
"265",88
"267",89
"269",90
"271",91
"273",92
"277",93
"279",94
"287",95
"295",96
"297",97
"303",98
"304",99
"315",100
"324",101
"328",102
"333",103
"336",104
"337",105
"341",106
"373",107
"377",108
"385",109
"389",110
