"","x"
"106",0
"108",1
"110",2
"112",3
"113",4
"116",5
"118",6
"119",7
"122",8
"124",9
"125",10
"131",11
"134",12
"139",13
"140",14
"141",15
"145",16
"146",17
"149",18
"155",19
"157",20
"159",21
"161",22
"163",23
"169",24
"171",25
"173",26
"181",27
"192",28
"197",29
"201",30
"204",31
"208",32
"212",33
"213",34
"216",35
"217",36
"221",37
"223",38
"225",39
"227",40
"229",41
"231",42
"233",43
"237",44
"239",45
"241",46
"257",47
"261",48
"301",49
"305",50
