Individual,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
R_icteronotus_02,36,184,215,77,68,26.2,0,16.4,10.6,7.6
R_icteronotus_04,22,180,242,79,83,24,12,13.8,9.5,8.4
R_icteronotus_05,38,170,253,80,80,26,12.4,12.6,10,8.5
R_icteronotus_06,34,180,260,80,83,22.6,14,14.7,12.9,8.3
R_icteronotus_07,36,180,245,85,80,21.5,13.8,16.6,13,9.1
R_icteronotus_08,0,180,250,75,75,21.8,12.1,14.5,12.1,8.8
R_icteronotus_09,40,183,232,75,81,26.4,13.1,14.4,11.3,9
R_icteronotus_10,33,192,235,85,80,23.3,14.9,15.3,11.6,7.2
R_icteronotus_11,35,182,270,88,76,23.85,13.27,20.02,14.14,10.01
R_icteronotus_12,36,186,260,84,82,24.13,14.41,18.81,13.5,8.52
R_icteronotus_13,35,183,248,83,83,17.5,15.01,18.96,13.06,9.31
R_icteronotus_14,37,174,244,83,75,23,16,15.03,10.13,11
R_icteronotus_15,32,172,242,79,72.5,20.87,13.5,18.17,11.96,8.32
R_icteronotus_16,38,170,270,88,79,23.35,13.53,17.45,11.38,8.72
R_icteronotus_17,36,165,272,87,81,21.45,15.45,19.59,11.55,9.86
R_icteronotus_18,34,176,273,84,78,21.63,14.28,19.65,12.91,8.82
R_icteronotus_22,32,169,265,83,75,23.22,13.39,18.88,11.64,7.85
R_icteronotus_23,36,170,260,84,74,22.18,13.64,16.93,11.88,8.95
R_icteronotus_24,35,173,268,85,77,20.25,14.94,18.07,12.05,8.06
R_icteronotus_26,32,177.5,249.8,81.5,78.05,23.16,13.80,16.18,11.67,8.67
R_icteronotus_28,20,170,250,78,74,21.72,13.83,16.91,12.6,8.17
R_icteronotus_50,41,179,246,79,69,24.56,0,10.1,14.49,7.65
R_icteronotus_51,32,171,241,80,59,23.5,0,11.04,14.15,8.25
R_icteronotus_52,35,185,224,86,66,19.00,0,14.00,9.00,10.00
R_icteronotus_53,31,171,233,72,69,21.31,0,14.45,11.44,8.41
