pair,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
R_dimidiatus_20_R_dimidiatus_21,0.0,0.8333,0.9914,0.9583,1.0,0.6016,1.0,0.9397,0.8542,0.971
R_dimidiatus_20_R_dimidiatus_24,0.3171,0.75,0.6724,0.875,0.939,0.9141,1.0,0.9464,0.9896,0.7681
R_dimidiatus_20_R_dimidiatus_27,0.3171,0.881,0.8707,0.8333,1.0,0.9219,1.0,0.9866,0.8438,1.0
R_dimidiatus_20_R_dimidiatus_30,0.2927,0.9405,0.8707,0.875,0.9878,0.8594,1.0,0.6852,0.6458,0.7391
R_dimidiatus_20_R_dimidiatus_33,0.3415,1.0,0.7414,0.75,0.9756,0.5,1.0,0.9531,0.8854,0.9855
R_dimidiatus_20_R_dimidiatus_36,1.0,0.9167,0.6897,0.8333,1.0,0.8203,0.0,0.7723,0.7812,0.8406
R_dimidiatus_20_R_dimidiatus_37,0.3171,0.9405,0.7414,0.9167,0.9756,0.7578,0.3464,0.8259,0.7396,0.7246
R_dimidiatus_20_R_dimidiatus_38,0.2927,1.0,0.7845,0.8333,0.939,0.7812,0.281,0.8928,0.9479,0.8406
R_dimidiatus_20_R_dimidiatus_40,0.4634,0.9405,0.75,0.9167,0.9878,0.9766,0.3137,0.8459,0.6667,0.2029
R_dimidiatus_20_R_dimidiatus_41,0.2927,1.0,0.7672,0.8333,0.8537,0.9141,0.183,0.9397,0.5208,0.1594
R_dimidiatus_20_R_dimidiatus_42,0.3902,0.9405,0.8276,0.75,1.0,0.8906,0.3529,0.8794,0.5,0.5942
R_dimidiatus_20_R_dimidiatus_43,0.4634,1.0,0.8707,0.9583,1.0,0.8438,0.1503,0.9799,0.6146,0.3188
R_dimidiatus_20_R_dimidiatus_44,0.2683,0.881,0.9138,1.0,0.9512,0.9688,0.281,0.9263,0.8854,0.8696
R_dimidiatus_20_R_dimidiatus_45,0.1463,1.0,0.7414,0.8333,1.0,0.9922,0.2484,0.9933,0.9792,0.7971
R_dimidiatus_20_R_dimidiatus_47,0.3415,0.9405,0.9138,0.875,1.0,0.7656,0.2157,0.9933,0.9063,0.5362
R_dimidiatus_20_R_dimidiatus_49,0.1707,0.5238,0.7414,0.8333,0.1463,0.9609,0.183,0.9397,0.9688,1.0
R_dimidiatus_20_R_dimidiatus_52,0.3415,0.9405,0.8707,0.8333,0.878,0.3437,0.1895,0.7857,0.9167,0.8986
R_dimidiatus_20_R_dimidiatus_53,0.6341,0.8571,0.7414,0.75,0.9268,0.9531,0.2353,0.8593,0.9375,0.9565
R_dimidiatus_20_R_dimidiatus_59,0.3659,0.9048,0.8017,1.0,0.9268,0.8164,0.202,0.7488,0.9698,0.8391
R_dimidiatus_20_R_dimidiatus_65,0.3415,1.0,0.8793,0.9167,0.9146,0.8953,0.266,0.994,0.875,0.8478
R_dimidiatus_20_R_dimidiatus_66,0.4146,0.9286,0.9655,0.9167,0.9756,0.8766,0.2405,0.8058,0.8875,0.8667
R_dimidiatus_20_R_dimidiatus_67,0.2683,0.9643,0.8966,1.0,0.9756,0.807,0.1863,0.7897,0.9594,0.9522
R_dimidiatus_20_R_dimidiatus_68,0.2683,0.9881,0.8017,0.8333,0.9512,0.9672,0.1948,0.9149,0.9833,0.7942
R_dimidiatus_20_R_dimidiatus_69,0.3659,0.9524,0.7759,0.8333,0.9878,0.8859,0.183,0.8352,0.9448,0.7826
R_dimidiatus_20_R_dimidiatus_70,0.3902,0.9167,0.819,0.9167,0.9756,0.9844,0.2,0.7421,0.9833,0.7333
R_dimidiatus_20_R_dimidiatus_72,0.4146,0.5952,0.7759,0.75,0.9756,0.6617,0.1954,0.9792,0.9458,0.8217
R_dimidiatus_20_R_dimidiatus_74,0.3415,0.9524,0.7931,0.9167,0.9634,0.8281,0.2007,0.9096,0.9854,0.787
R_dimidiatus_20_R_dimidiatus_76,0.3415,0.9405,0.7414,0.875,0.9024,0.8258,0.1588,0.9096,0.9583,0.8768
R_dimidiatus_20_R_dimidiatus_77,0.2927,0.9881,0.7586,0.8333,0.9878,0.6633,0.2078,0.9806,0.9562,0.887
R_dimidiatus_20_R_dimidiatus_78,0.439,1.0,0.7759,0.9167,0.9268,0.9781,0.1797,0.9739,0.9333,0.7957
R_dimidiatus_20_R_dimidiatus_80,0.3659,0.9405,0.7414,0.875,0.9024,0.907,0.1967,0.8285,0.9458,0.8551
R_dimidiatus_20_R_dimidiatus_83,0.2927,0.9405,0.7845,0.875,1.0,0.7922,0.1412,0.8433,0.9198,0.871
R_dimidiatus_20_R_dimidiatus_84,0.4146,0.9405,0.8276,0.9583,0.9146,0.9789,0.1281,0.8687,0.9323,0.8101
R_dimidiatus_20_R_dimidiatus_85,0.3902,0.9405,0.7931,0.9167,0.9634,0.9836,0.232,0.8902,0.9969,0.9116
R_dimidiatus_20_R_dimidiatus_86,0.2683,0.9881,0.8103,0.9583,0.9634,0.9055,0.2203,0.8473,0.9719,0.7014
R_dimidiatus_20_R_dimidiatus_90,0.4634,0.9048,0.8793,1.0,0.9512,0.7656,0.2392,0.8647,0.9552,0.8449
R_dimidiatus_20_R_dimidiatus_98,0.3902,0.9762,0.7586,0.75,0.9878,0.8039,0.1614,0.6631,0.9365,0.729
R_dimidiatus_20_R_dimidiatus_102,0.3902,0.9881,0.7672,0.9583,0.9512,0.9523,0.1967,0.8948,0.9583,0.887
R_dimidiatus_20_R_dimidiatus_106,0.3415,0.9405,0.8707,0.9583,0.9634,0.7813,0.1523,0.8038,0.9583,0.8406
R_dimidiatus_20_R_dimidiatus_200,0.7317,0.1667,0.3103,0.4583,0.5854,0.8906,1.0,0.3369,0.4583,0.7246
R_dimidiatus_20_R_dimidiatus_201,0.3902,0.7857,0.8448,0.8333,0.8537,0.8125,1.0,0.9397,0.3542,0.8406
R_dimidiatus_20_R_dimidiatus_203,0.3902,0.8452,0.7414,0.5417,0.9878,0.6563,1.0,0.8727,0.8125,0.7246
R_dimidiatus_20_R_dimidiatus_204,0.2683,0.9048,0.9483,0.8333,0.9268,0.9883,1.0,0.8614,0.926,0.7855
R_dimidiatus_20_R_dimidiatus_205,0.4146,0.881,0.931,0.9583,0.9878,0.7445,1.0,0.9471,0.8354,0.7029
R_dimidiatus_21_R_dimidiatus_24,0.6829,0.5833,0.6638,0.9167,0.939,0.6875,1.0,0.8861,0.8438,0.7971
R_dimidiatus_21_R_dimidiatus_27,0.6829,0.7143,0.8793,0.7917,1.0,0.5234,1.0,0.9263,0.6979,0.971
R_dimidiatus_21_R_dimidiatus_30,0.7073,0.7738,0.8621,0.8333,0.9878,0.7422,1.0,0.7455,0.5,0.7681
R_dimidiatus_21_R_dimidiatus_33,0.6585,0.8333,0.75,0.7917,0.9756,0.8984,1.0,0.9866,0.7396,0.9565
R_dimidiatus_21_R_dimidiatus_36,0.0,0.9167,0.6983,0.7917,1.0,0.7812,0.0,0.712,0.6354,0.8696
R_dimidiatus_21_R_dimidiatus_37,0.6829,0.7738,0.75,0.875,0.9756,0.8438,0.3464,0.7656,0.5938,0.7536
R_dimidiatus_21_R_dimidiatus_38,0.7073,0.8333,0.7931,0.875,0.939,0.8203,0.281,0.8326,0.8021,0.8696
R_dimidiatus_21_R_dimidiatus_40,0.5366,0.8929,0.7586,0.875,0.9878,0.625,0.3137,0.7857,0.8125,0.2319
R_dimidiatus_21_R_dimidiatus_41,0.7073,0.8333,0.7759,0.7917,0.8537,0.5156,0.183,0.8794,0.6667,0.1884
R_dimidiatus_21_R_dimidiatus_42,0.6098,0.7738,0.8362,0.7917,1.0,0.7109,0.3529,0.8192,0.6458,0.6232
R_dimidiatus_21_R_dimidiatus_43,0.5366,0.8333,0.8793,1.0,1.0,0.4453,0.1503,0.9196,0.7604,0.3478
R_dimidiatus_21_R_dimidiatus_44,0.7317,0.7143,0.9224,0.9583,0.9512,0.5703,0.281,0.866,0.7396,0.8406
R_dimidiatus_21_R_dimidiatus_45,0.8537,0.8333,0.75,0.7917,1.0,0.5938,0.2484,0.933,0.8333,0.8261
R_dimidiatus_21_R_dimidiatus_47,0.6585,0.8929,0.9052,0.9167,1.0,0.3672,0.2157,0.9464,0.9479,0.5652
R_dimidiatus_21_R_dimidiatus_49,0.8293,0.3571,0.75,0.7917,0.1463,0.6406,0.183,1.0,0.8854,0.971
R_dimidiatus_21_R_dimidiatus_52,0.6585,0.8929,0.8793,0.7917,0.878,0.7422,0.1895,0.8459,0.7708,0.9275
R_dimidiatus_21_R_dimidiatus_53,0.3659,0.9762,0.75,0.7083,0.9268,0.5547,0.2353,0.9196,0.9167,0.9855
R_dimidiatus_21_R_dimidiatus_59,0.6341,0.9286,0.8103,0.9583,0.9268,0.418,0.202,0.8091,0.824,0.8681
R_dimidiatus_21_R_dimidiatus_65,0.6585,0.8333,0.8879,0.875,0.9146,0.4969,0.266,0.9457,0.7292,0.8768
R_dimidiatus_21_R_dimidiatus_66,0.5854,0.9048,0.9741,0.875,0.9756,0.4781,0.2405,0.866,0.7417,0.8957
R_dimidiatus_21_R_dimidiatus_67,0.7317,0.869,0.9052,0.9583,0.9756,0.4086,0.1863,0.85,0.8135,0.9812
R_dimidiatus_21_R_dimidiatus_68,0.7317,0.8452,0.8103,0.7917,0.9512,0.5688,0.1948,0.9752,0.8375,0.8232
