pair,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
R_dimidiatus_20_R_dimidiatus_21,0.0,0.8478,0.9925,0.96,1.0,0.6016,1.0,0.9401,0.8542,0.971
R_dimidiatus_20_R_dimidiatus_24,0.3171,0.7717,0.7143,0.88,0.9398,0.9141,1.0,0.9467,0.9896,0.7681
R_dimidiatus_20_R_dimidiatus_27,0.3171,0.8913,0.8872,0.84,1.0,0.9219,1.0,0.9867,0.8438,1.0
R_dimidiatus_20_R_dimidiatus_30,0.2927,0.9457,0.8872,0.88,0.988,0.8594,1.0,0.6871,0.6458,0.7391
R_dimidiatus_20_R_dimidiatus_33,0.3415,1.0,0.7744,0.76,0.9759,0.5,1.0,0.9534,0.8854,0.9855
R_dimidiatus_20_R_dimidiatus_36,1.0,0.9239,0.7293,0.84,1.0,0.8203,0.0437,0.7736,0.7812,0.8406
R_dimidiatus_20_R_dimidiatus_37,0.3171,0.9457,0.7744,0.92,0.9759,0.7578,0.375,0.8269,0.7396,0.7246
R_dimidiatus_20_R_dimidiatus_38,0.2927,1.0,0.812,0.84,0.9398,0.7812,0.3125,0.8935,0.9479,0.8406
R_dimidiatus_20_R_dimidiatus_40,0.4634,0.9457,0.782,0.92,0.988,0.9766,0.3438,0.8469,0.6667,0.2029
R_dimidiatus_20_R_dimidiatus_41,0.2927,1.0,0.797,0.84,0.8554,0.9141,0.2188,0.9401,0.5208,0.1594
R_dimidiatus_20_R_dimidiatus_42,0.3902,0.9457,0.8496,0.76,1.0,0.8906,0.3812,0.8802,0.5,0.5942
R_dimidiatus_20_R_dimidiatus_43,0.4634,1.0,0.8872,0.96,1.0,0.8438,0.1875,0.98,0.6146,0.3188
R_dimidiatus_20_R_dimidiatus_44,0.2683,0.8913,0.9248,1.0,0.9518,0.9688,0.3125,0.9268,0.8854,0.8696
R_dimidiatus_20_R_dimidiatus_45,0.1463,1.0,0.7744,0.84,1.0,0.9922,0.2812,0.9933,0.9792,0.7971
R_dimidiatus_20_R_dimidiatus_47,0.3415,0.9457,0.9248,0.88,1.0,0.7656,0.25,0.9933,0.9063,0.5362
R_dimidiatus_20_R_dimidiatus_49,0.1707,0.5652,0.7744,0.84,0.1566,0.9609,0.2188,0.9401,0.9688,1.0
R_dimidiatus_20_R_dimidiatus_52,0.3415,0.9457,0.8872,0.84,0.8795,0.3437,0.225,0.787,0.9167,0.8986
R_dimidiatus_20_R_dimidiatus_53,0.6341,0.8696,0.7744,0.76,0.9277,0.9531,0.2688,0.8602,0.9375,0.9565
R_dimidiatus_20_R_dimidiatus_59,0.3659,0.913,0.8271,1.0,0.9277,0.8164,0.2369,0.7503,0.9698,0.8391
R_dimidiatus_20_R_dimidiatus_65,0.3415,1.0,0.8947,0.92,0.9157,0.8953,0.2981,0.994,0.875,0.8478
R_dimidiatus_20_R_dimidiatus_66,0.4146,0.9348,0.9699,0.92,0.9759,0.8766,0.2738,0.8069,0.8875,0.8667
R_dimidiatus_20_R_dimidiatus_67,0.2683,0.9674,0.9098,1.0,0.9759,0.807,0.2219,0.7909,0.9594,0.9522
R_dimidiatus_20_R_dimidiatus_68,0.2683,0.9891,0.8271,0.84,0.9518,0.9672,0.23,0.9154,0.9833,0.7942
R_dimidiatus_20_R_dimidiatus_69,0.3659,0.9565,0.8045,0.84,0.988,0.8859,0.2188,0.8362,0.9448,0.7826
R_dimidiatus_20_R_dimidiatus_70,0.3902,0.9239,0.8421,0.92,0.9759,0.9844,0.235,0.7437,0.9833,0.7333
R_dimidiatus_20_R_dimidiatus_72,0.4146,0.6304,0.8045,0.76,0.9759,0.6617,0.2306,0.9794,0.9458,0.8217
R_dimidiatus_20_R_dimidiatus_74,0.3415,0.9565,0.8195,0.92,0.9639,0.8281,0.2356,0.9101,0.9854,0.787
R_dimidiatus_20_R_dimidiatus_76,0.3415,0.9457,0.7744,0.88,0.9036,0.8258,0.1956,0.9101,0.9583,0.8768
R_dimidiatus_20_R_dimidiatus_77,0.2927,0.9891,0.7895,0.84,0.988,0.6633,0.2425,0.9807,0.9562,0.887
R_dimidiatus_20_R_dimidiatus_78,0.439,1.0,0.8045,0.92,0.9277,0.9781,0.2156,0.974,0.9333,0.7957
R_dimidiatus_20_R_dimidiatus_80,0.3659,0.9457,0.7744,0.88,0.9036,0.907,0.2319,0.8296,0.9458,0.8551
R_dimidiatus_20_R_dimidiatus_83,0.2927,0.9457,0.812,0.88,1.0,0.7922,0.1787,0.8442,0.9198,0.871
R_dimidiatus_20_R_dimidiatus_84,0.4146,0.9457,0.8496,0.96,0.9157,0.9789,0.1662,0.8695,0.9323,0.8101
R_dimidiatus_20_R_dimidiatus_85,0.3902,0.9457,0.8195,0.92,0.9639,0.9836,0.2656,0.8908,0.9969,0.9116
R_dimidiatus_20_R_dimidiatus_86,0.2683,0.9891,0.8346,0.96,0.9639,0.9055,0.2544,0.8482,0.9719,0.7014
R_dimidiatus_20_R_dimidiatus_90,0.4634,0.913,0.8947,1.0,0.9518,0.7656,0.2725,0.8655,0.9552,0.8449
R_dimidiatus_20_R_dimidiatus_98,0.3902,0.9783,0.7895,0.76,0.988,0.8039,0.1981,0.6651,0.9365,0.729
R_dimidiatus_20_R_dimidiatus_102,0.3902,0.9891,0.797,0.96,0.9518,0.9523,0.2319,0.8955,0.9583,0.887
R_dimidiatus_20_R_dimidiatus_106,0.3415,0.9457,0.8872,0.96,0.9639,0.7813,0.1894,0.8049,0.9583,0.8406
R_dimidiatus_20_R_dimidiatus_200,0.7317,0.2391,0.3985,0.48,0.5904,0.8906,1.0,0.3409,0.4583,0.7246
R_dimidiatus_20_R_dimidiatus_201,0.3902,0.8043,0.8647,0.84,0.8554,0.8125,1.0,0.9401,0.3542,0.8406
R_dimidiatus_20_R_dimidiatus_203,0.3902,0.8587,0.7744,0.56,0.988,0.6563,1.0,0.8735,0.8125,0.7246
R_dimidiatus_20_R_dimidiatus_204,0.2683,0.913,0.9549,0.84,0.9277,0.9883,1.0,0.8622,0.926,0.7855
R_dimidiatus_20_R_dimidiatus_205,0.4146,0.8913,0.9398,0.96,0.988,0.7445,1.0,0.9474,0.8354,0.7029
R_dimidiatus_20_R_icteronotus_02,0.122,0.8478,0.9624,0.96,0.9759,0.625,1.0,0.9001,0.8333,0.9275
R_dimidiatus_20_R_icteronotus_04,0.4634,0.8913,0.8346,0.88,0.8434,0.7969,0.25,0.9268,0.7188,0.9565
R_dimidiatus_20_R_icteronotus_05,0.0732,1.0,0.7519,0.84,0.8795,0.6406,0.225,0.8469,0.7708,0.942
R_dimidiatus_20_R_icteronotus_06,0.1707,0.8913,0.6992,0.84,0.8434,0.9062,0.125,0.9867,0.9271,0.971
R_dimidiatus_20_R_icteronotus_07,0.122,0.8913,0.812,0.64,0.8795,0.9922,0.1375,0.8868,0.9167,0.8551
R_dimidiatus_20_R_icteronotus_08,1.0,0.8913,0.7744,0.96,0.9398,0.9687,0.2438,0.9734,0.9896,0.8986
R_dimidiatus_20_R_icteronotus_09,0.0244,0.8587,0.9098,0.96,0.8675,0.6094,0.1813,0.9667,0.9063,0.8696
R_dimidiatus_20_R_icteronotus_10,0.1951,0.7609,0.8872,0.64,0.8795,0.8516,0.0687,0.9734,0.9375,0.8696
R_dimidiatus_20_R_icteronotus_11,0.1463,0.8696,0.6241,0.52,0.9277,0.8086,0.1706,0.6591,0.7979,0.7232
R_dimidiatus_20_R_icteronotus_12,0.122,0.8261,0.6992,0.68,0.8554,0.7867,0.0994,0.7397,0.8646,0.9391
R_dimidiatus_20_R_icteronotus_13,0.1463,0.8587,0.7895,0.72,0.8434,0.6953,0.0619,0.7297,0.9104,0.8246
R_dimidiatus_20_R_icteronotus_14,0.0976,0.9565,0.8195,0.72,0.9398,0.875,0.0,0.9913,0.7844,0.5797
R_dimidiatus_20_R_icteronotus_15,0.2195,0.9783,0.8346,0.88,0.9699,0.9586,0.1562,0.7823,0.975,0.9681
R_dimidiatus_20_R_icteronotus_16,0.0732,1.0,0.6241,0.52,0.8916,0.8477,0.1544,0.8302,0.9146,0.9101
R_dimidiatus_20_R_icteronotus_17,0.122,0.9457,0.609,0.56,0.8675,0.9961,0.0344,0.6877,0.9323,0.7449
R_dimidiatus_20_R_icteronotus_18,0.1707,0.9348,0.6015,0.68,0.9036,0.982,0.1075,0.6838,0.926,0.8957
R_dimidiatus_20_R_icteronotus_22,0.2195,0.9891,0.6617,0.72,0.9398,0.8578,0.1631,0.735,0.9417,0.9638
R_dimidiatus_20_R_icteronotus_23,0.122,1.0,0.6992,0.68,0.9518,0.9391,0.1475,0.8648,0.9667,0.8768
R_dimidiatus_20_R_icteronotus_24,0.1463,0.9674,0.6391,0.64,0.9157,0.9102,0.0663,0.7889,0.9844,0.9942
R_dimidiatus_20_R_icteronotus_26,0.2195,0.9185,0.7759,0.78,0.903,0.8625,0.1375,0.9148,0.9448,0.9174
R_dimidiatus_20_R_icteronotus_28,0.5122,1.0,0.7744,0.92,0.9518,0.975,0.1356,0.8662,0.9583,0.9899
R_dimidiatus_20_R_icteronotus_50,0.0,0.9022,0.8045,0.88,0.988,0.7531,1.0,0.6804,0.7615,0.9348
R_dimidiatus_20_R_icteronotus_51,0.2195,0.9891,0.8421,0.84,0.8675,0.8359,1.0,0.743,0.7969,0.9783
R_dimidiatus_20_R_icteronotus_52,0.1463,0.837,0.9699,0.6,0.9518,0.8125,1.0,0.9401,0.6667,0.7246
R_dimidiatus_20_R_icteronotus_53,0.2439,0.9891,0.9023,0.84,0.988,0.993,1.0,0.97,0.9208,0.9551
R_dimidiatus_21_R_dimidiatus_24,0.6829,0.6196,0.7068,0.92,0.9398,0.6875,1.0,0.8868,0.8438,0.7971
R_dimidiatus_21_R_dimidiatus_27,0.6829,0.7391,0.8947,0.8,1.0,0.5234,1.0,0.9268,0.6979,0.971
R_dimidiatus_21_R_dimidiatus_30,0.7073,0.7935,0.8797,0.84,0.988,0.7422,1.0,0.747,0.5,0.7681
R_dimidiatus_21_R_dimidiatus_33,0.6585,0.8478,0.782,0.8,0.9759,0.8984,1.0,0.9867,0.7396,0.9565
R_dimidiatus_21_R_dimidiatus_36,0.0,0.9239,0.7368,0.8,1.0,0.7812,0.0437,0.7137,0.6354,0.8696
R_dimidiatus_21_R_dimidiatus_37,0.6829,0.7935,0.782,0.88,0.9759,0.8438,0.375,0.767,0.5938,0.7536
R_dimidiatus_21_R_dimidiatus_38,0.7073,0.8478,0.8195,0.88,0.9398,0.8203,0.3125,0.8336,0.8021,0.8696
R_dimidiatus_21_R_dimidiatus_40,0.5366,0.9022,0.7895,0.88,0.988,0.625,0.3438,0.787,0.8125,0.2319
R_dimidiatus_21_R_dimidiatus_41,0.7073,0.8478,0.8045,0.8,0.8554,0.5156,0.2188,0.8802,0.6667,0.1884
R_dimidiatus_21_R_dimidiatus_42,0.6098,0.7935,0.8571,0.8,1.0,0.7109,0.3812,0.8202,0.6458,0.6232
R_dimidiatus_21_R_dimidiatus_43,0.5366,0.8478,0.8947,1.0,1.0,0.4453,0.1875,0.9201,0.7604,0.3478
R_dimidiatus_21_R_dimidiatus_44,0.7317,0.7391,0.9323,0.96,0.9518,0.5703,0.3125,0.8668,0.7396,0.8406
R_dimidiatus_21_R_dimidiatus_45,0.8537,0.8478,0.782,0.8,1.0,0.5938,0.2812,0.9334,0.8333,0.8261
R_dimidiatus_21_R_dimidiatus_47,0.6585,0.9022,0.9173,0.92,1.0,0.3672,0.25,0.9467,0.9479,0.5652
R_dimidiatus_21_R_dimidiatus_49,0.8293,0.413,0.782,0.8,0.1566,0.6406,0.2188,1.0,0.8854,0.971
R_dimidiatus_21_R_dimidiatus_52,0.6585,0.9022,0.8947,0.8,0.8795,0.7422,0.225,0.8469,0.7708,0.9275
R_dimidiatus_21_R_dimidiatus_53,0.3659,0.9783,0.782,0.72,0.9277,0.5547,0.2688,0.9201,0.9167,0.9855
R_dimidiatus_21_R_dimidiatus_59,0.6341,0.9348,0.8346,0.96,0.9277,0.418,0.2369,0.8103,0.824,0.8681
R_dimidiatus_21_R_dimidiatus_65,0.6585,0.8478,0.9023,0.88,0.9157,0.4969,0.2981,0.9461,0.7292,0.8768
R_dimidiatus_21_R_dimidiatus_66,0.5854,0.913,0.9774,0.88,0.9759,0.4781,0.2738,0.8668,0.7417,0.8957
R_dimidiatus_21_R_dimidiatus_67,0.7317,0.8804,0.9173,0.96,0.9759,0.4086,0.2219,0.8509,0.8135,0.9812
R_dimidiatus_21_R_dimidiatus_68,0.7317,0.8587,0.8346,0.8,0.9518,0.5688,0.23,0.9754,0.8375,0.8232
R_dimidiatus_21_R_dimidiatus_69,0.6341,0.8913,0.812,0.8,0.988,0.4875,0.2188,0.8961,0.799,0.8116
R_dimidiatus_21_R_dimidiatus_70,0.6098,0.9239,0.8496,0.88,0.9759,0.5859,0.235,0.8036,0.8708,0.7623
R_dimidiatus_21_R_dimidiatus_72,0.5854,0.4783,0.812,0.72,0.9759,0.9398,0.2306,0.9194,0.8,0.8507
R_dimidiatus_21_R_dimidiatus_74,0.6585,0.8913,0.8271,0.88,0.9639,0.4297,0.2356,0.97,0.8688,0.8159
R_dimidiatus_21_R_dimidiatus_76,0.6585,0.9022,0.782,0.84,0.9036,0.4273,0.1956,0.97,0.8958,0.9058
R_dimidiatus_21_R_dimidiatus_77,0.7073,0.8587,0.797,0.8,0.988,0.2648,0.2425,0.9594,0.8979,0.9159
R_dimidiatus_21_R_dimidiatus_78,0.561,0.8478,0.812,0.88,0.9277,0.5797,0.2156,0.9141,0.7875,0.8246
R_dimidiatus_21_R_dimidiatus_80,0.6341,0.7935,0.782,0.84,0.9036,0.5086,0.2319,0.8895,0.9083,0.8841
R_dimidiatus_21_R_dimidiatus_83,0.7073,0.7935,0.8195,0.84,1.0,0.3937,0.1787,0.9041,0.9344,0.9
R_dimidiatus_21_R_dimidiatus_84,0.5854,0.7935,0.8571,0.92,0.9157,0.5805,0.1662,0.9294,0.9219,0.8391
R_dimidiatus_21_R_dimidiatus_85,0.6098,0.7935,0.8271,0.88,0.9639,0.5852,0.2656,0.9507,0.851,0.9406
R_dimidiatus_21_R_dimidiatus_86,0.7317,0.837,0.8421,0.92,0.9639,0.507,0.2544,0.9081,0.8823,0.7304
R_dimidiatus_21_R_dimidiatus_90,0.5366,0.7609,0.9023,0.96,0.9518,0.3672,0.2725,0.9254,0.899,0.8739
R_dimidiatus_21_R_dimidiatus_98,0.6098,0.8261,0.797,0.72,0.988,0.4055,0.1981,0.725,0.7906,0.758
R_dimidiatus_21_R_dimidiatus_102,0.6098,0.837,0.8045,0.92,0.9518,0.5539,0.2319,0.9554,0.8958,0.9159
R_dimidiatus_21_R_dimidiatus_106,0.6585,0.9022,0.8947,0.92,0.9639,0.3828,0.1894,0.8648,0.8125,0.8696
R_dimidiatus_21_R_dimidiatus_200,0.2683,0.087,0.391,0.52,0.5904,0.4922,1.0,0.281,0.6042,0.7536
R_dimidiatus_21_R_dimidiatus_201,0.6098,0.6522,0.8571,0.88,0.8554,0.4141,1.0,0.8802,0.5,0.8116
R_dimidiatus_21_R_dimidiatus_203,0.6098,0.7065,0.7669,0.52,0.988,0.2578,1.0,0.8136,0.6667,0.7536
R_dimidiatus_21_R_dimidiatus_204,0.7317,0.7609,0.9624,0.8,0.9277,0.5898,1.0,0.9221,0.7802,0.8145
R_dimidiatus_21_R_dimidiatus_205,0.5854,0.7391,0.9474,1.0,0.988,0.3461,1.0,0.9927,0.6896,0.7319
R_dimidiatus_21_R_icteronotus_02,0.878,1.0,0.9549,0.92,0.9759,0.9766,1.0,0.9601,0.9792,0.8986
R_dimidiatus_21_R_icteronotus_04,0.5366,0.9565,0.8421,0.84,0.8434,0.8047,0.25,0.8668,0.8646,0.9855
R_dimidiatus_21_R_icteronotus_05,0.9268,0.8478,0.7594,0.8,0.8795,0.9609,0.225,0.787,0.9167,0.971
R_dimidiatus_21_R_icteronotus_06,0.8293,0.9565,0.7068,0.8,0.8434,0.6953,0.125,0.9268,0.7812,1.0
R_dimidiatus_21_R_icteronotus_07,0.878,0.9565,0.8195,0.6,0.8795,0.6094,0.1375,0.9467,0.7708,0.8841
R_dimidiatus_21_R_icteronotus_08,0.0,0.9565,0.782,1.0,0.9398,0.6328,0.2438,0.9134,0.8646,0.9275
R_dimidiatus_21_R_icteronotus_09,0.9756,0.9891,0.9173,1.0,0.8675,0.9922,0.1813,0.9068,0.9479,0.8986
R_dimidiatus_21_R_icteronotus_10,0.8049,0.913,0.8947,0.6,0.8795,0.75,0.0687,0.9667,0.9167,0.8406
R_dimidiatus_21_R_icteronotus_11,0.8537,0.9783,0.6316,0.48,0.9277,0.793,0.1706,0.719,0.6521,0.7522
R_dimidiatus_21_R_icteronotus_12,0.878,0.9783,0.7068,0.64,0.8554,0.8148,0.0994,0.7996,0.7188,0.9681
R_dimidiatus_21_R_icteronotus_13,0.8537,0.9891,0.797,0.68,0.8434,0.2969,0.0619,0.7896,0.7646,0.8536
R_dimidiatus_21_R_icteronotus_14,0.9024,0.8913,0.8271,0.68,0.9398,0.7266,0.0,0.9487,0.9302,0.6087
R_dimidiatus_21_R_icteronotus_15,0.7805,0.8696,0.8421,0.84,0.9699,0.5602,0.1562,0.8422,0.8792,0.9971
R_dimidiatus_21_R_icteronotus_16,0.9268,0.8478,0.6316,0.48,0.8916,0.7539,0.1544,0.8901,0.9396,0.9391
R_dimidiatus_21_R_icteronotus_17,0.878,0.7935,0.6165,0.52,0.8675,0.6055,0.0344,0.7477,0.9219,0.7739
R_dimidiatus_21_R_icteronotus_18,0.8293,0.913,0.609,0.64,0.9036,0.6195,0.1075,0.7437,0.7802,0.9246
R_dimidiatus_21_R_icteronotus_22,0.7805,0.837,0.6692,0.68,0.9398,0.7437,0.1631,0.7949,0.9125,0.9348
R_dimidiatus_21_R_icteronotus_23,0.878,0.8478,0.7068,0.64,0.9518,0.6625,0.1475,0.9248,0.8875,0.9058
R_dimidiatus_21_R_icteronotus_24,0.8537,0.8804,0.6466,0.6,0.9157,0.5117,0.0663,0.8489,0.8698,0.9652
R_dimidiatus_21_R_icteronotus_26,0.7805,0.9293,0.7835,0.74,0.903,0.7391,0.1375,0.9747,0.9094,0.9464
R_dimidiatus_21_R_icteronotus_28,0.4878,0.8478,0.782,0.88,0.9518,0.6266,0.1356,0.9261,0.8125,0.9812
R_dimidiatus_21_R_icteronotus_50,1.0,0.9457,0.812,0.84,0.988,0.8484,1.0,0.6205,0.6156,0.9058
R_dimidiatus_21_R_icteronotus_51,0.7805,0.8587,0.8496,0.8,0.8675,0.7656,1.0,0.6831,0.651,0.9928
R_dimidiatus_21_R_icteronotus_52,0.8537,0.9891,0.9774,0.56,0.9518,0.4141,1.0,0.8802,0.8125,0.7536
R_dimidiatus_21_R_icteronotus_53,0.7561,0.8587,0.9098,0.88,0.988,0.5945,1.0,0.9101,0.9333,0.9841
R_dimidiatus_24_R_dimidiatus_27,1.0,0.8804,0.6015,0.72,0.9398,0.8359,1.0,0.9601,0.8542,0.7681
R_dimidiatus_24_R_dimidiatus_30,0.9756,0.8261,0.8271,0.76,0.9518,0.9453,1.0,0.6338,0.6563,0.971
R_dimidiatus_24_R_dimidiatus_33,0.9756,0.7717,0.4887,0.88,0.9157,0.5859,1.0,0.9001,0.8958,0.7536
R_dimidiatus_24_R_dimidiatus_36,0.3171,0.6957,0.4436,0.72,0.9398,0.9063,0.0437,0.8269,0.7917,0.9275
R_dimidiatus_24_R_dimidiatus_37,1.0,0.8261,0.4887,0.8,0.9157,0.8438,0.375,0.8802,0.75,0.9565
R_dimidiatus_24_R_dimidiatus_38,0.9756,0.7717,0.5263,0.96,1.0,0.8672,0.3125,0.9467,0.9583,0.9275
R_dimidiatus_24_R_dimidiatus_40,0.8537,0.7174,0.4962,0.8,0.9277,0.9375,0.3438,0.9001,0.6562,0.4348
R_dimidiatus_24_R_dimidiatus_41,0.9756,0.7717,0.5113,0.72,0.7952,0.8281,0.2188,0.9933,0.5104,0.3913
R_dimidiatus_24_R_dimidiatus_42,0.9268,0.8261,0.5639,0.88,0.9398,0.9766,0.3812,0.9334,0.4896,0.8261
R_dimidiatus_24_R_dimidiatus_43,0.8537,0.7717,0.6015,0.92,0.9398,0.7578,0.1875,0.9667,0.6042,0.5507
R_dimidiatus_24_R_dimidiatus_44,0.9512,0.8804,0.6391,0.88,0.988,0.8828,0.3125,0.98,0.8958,0.6377
R_dimidiatus_24_R_dimidiatus_45,0.8293,0.7717,0.4887,0.72,0.9398,0.9063,0.2812,0.9534,0.9896,0.971
R_dimidiatus_24_R_dimidiatus_47,0.9756,0.7174,0.7895,1.0,0.9398,0.6797,0.25,0.9401,0.8958,0.7681
R_dimidiatus_24_R_dimidiatus_49,0.8537,0.7935,0.4887,0.72,0.2169,0.9531,0.2188,0.8868,0.9583,0.7681
R_dimidiatus_24_R_dimidiatus_52,0.9756,0.7174,0.6015,0.72,0.8193,0.4297,0.225,0.7337,0.9271,0.8696
R_dimidiatus_24_R_dimidiatus_53,0.6829,0.6413,0.4887,0.64,0.8675,0.8672,0.2688,0.8069,0.9271,0.8116
R_dimidiatus_24_R_dimidiatus_59,0.9512,0.6848,0.5414,0.88,0.8675,0.7305,0.2369,0.6971,0.9802,0.929
R_dimidiatus_24_R_dimidiatus_65,0.9756,0.7717,0.609,0.8,0.8554,0.8094,0.2981,0.9407,0.8854,0.9203
R_dimidiatus_24_R_dimidiatus_66,0.9024,0.7065,0.6842,0.8,0.9157,0.7906,0.2738,0.7537,0.8979,0.9014
R_dimidiatus_24_R_dimidiatus_67,0.9512,0.7391,0.6241,0.88,0.9157,0.7211,0.2219,0.7377,0.9698,0.8159
R_dimidiatus_24_R_dimidiatus_68,0.9512,0.7609,0.5414,0.72,0.988,0.8812,0.23,0.8622,0.9938,0.9739
R_dimidiatus_24_R_dimidiatus_69,0.9512,0.7283,0.5188,0.72,0.9277,0.8,0.2188,0.783,0.9552,0.9855
R_dimidiatus_24_R_dimidiatus_70,0.9268,0.6957,0.5564,0.8,0.9157,0.8984,0.235,0.6904,0.9729,0.9652
R_dimidiatus_24_R_dimidiatus_72,0.9024,0.8587,0.5188,0.64,0.9157,0.7477,0.2306,0.9674,0.9562,0.9464
R_dimidiatus_24_R_dimidiatus_74,0.9756,0.7283,0.5338,0.8,0.9036,0.7422,0.2356,0.8569,0.975,0.9812
R_dimidiatus_24_R_dimidiatus_76,0.9756,0.7174,0.4887,0.76,0.8434,0.7398,0.1956,0.8569,0.9479,0.8913
R_dimidiatus_24_R_dimidiatus_77,0.9756,0.7609,0.5038,0.72,0.9277,0.5773,0.2425,0.9274,0.9458,0.8812
R_dimidiatus_24_R_dimidiatus_78,0.878,0.7717,0.5188,0.8,0.8675,0.8922,0.2156,0.9727,0.9438,0.9725
R_dimidiatus_24_R_dimidiatus_80,0.9512,0.8261,0.4887,0.76,0.8434,0.8211,0.2319,0.7763,0.9354,0.913
R_dimidiatus_24_R_dimidiatus_83,0.9756,0.8261,0.5263,0.76,0.9398,0.7062,0.1787,0.7909,0.9094,0.8971
R_dimidiatus_24_R_dimidiatus_84,0.9024,0.8261,0.5639,0.84,0.8554,0.893,0.1662,0.8162,0.9219,0.958
R_dimidiatus_24_R_dimidiatus_85,0.9268,0.8261,0.5338,0.8,0.9036,0.8977,0.2656,0.8375,0.9927,0.8565
R_dimidiatus_24_R_dimidiatus_86,0.9512,0.7826,0.5489,0.84,0.9759,0.8195,0.2544,0.7949,0.9615,0.9333
R_dimidiatus_24_R_dimidiatus_90,0.8537,0.8587,0.609,0.88,0.988,0.6797,0.2725,0.8123,0.9448,0.9232
R_dimidiatus_24_R_dimidiatus_98,0.9268,0.7935,0.5038,0.64,0.9518,0.718,0.1981,0.6119,0.9469,0.9609
R_dimidiatus_24_R_dimidiatus_102,0.9268,0.7826,0.5113,0.84,0.8916,0.8664,0.2319,0.8422,0.9479,0.8812
R_dimidiatus_24_R_dimidiatus_106,0.9756,0.7174,0.6015,0.84,0.9036,0.6953,0.1894,0.7517,0.9688,0.9275
R_dimidiatus_24_R_dimidiatus_200,0.5854,0.4674,0.6842,0.6,0.6506,0.8047,1.0,0.3941,0.4479,0.9565
R_dimidiatus_24_R_dimidiatus_201,0.9268,0.9674,0.8496,0.96,0.9157,0.7266,1.0,0.9933,0.3437,0.6087
R_dimidiatus_24_R_dimidiatus_203,0.9268,0.913,0.9398,0.44,0.9277,0.5703,1.0,0.9268,0.8229,0.9565
R_dimidiatus_24_R_dimidiatus_204,0.9512,0.8587,0.6692,0.72,0.988,0.9023,1.0,0.8089,0.9365,0.9826
R_dimidiatus_24_R_dimidiatus_205,0.9024,0.8804,0.6541,0.92,0.9277,0.6586,1.0,0.8941,0.8458,0.9348
R_dimidiatus_24_R_icteronotus_02,0.8049,0.6196,0.7519,0.84,0.9639,0.7109,1.0,0.8469,0.8229,0.6957
