pair,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
R_icteronotus_02_R_icteronotus_04,0.6585,0.8519,0.5345,0.875,0.375,0.7528,0.25,0.7379,0.7996,0.7895
R_icteronotus_02_R_icteronotus_05,0.9512,0.4815,0.3448,0.8125,0.5,0.9775,0.225,0.6169,0.8907,0.7632
R_icteronotus_02_R_icteronotus_06,0.9512,0.8519,0.2241,0.8125,0.375,0.5955,0.125,0.8286,0.5811,0.8158
R_icteronotus_02_R_icteronotus_07,1.0,0.8519,0.4828,0.5,0.5,0.4719,0.1375,0.9798,0.5628,0.6053
R_icteronotus_02_R_icteronotus_08,0.122,0.8519,0.3966,0.875,0.7083,0.5056,0.2438,0.8085,0.7268,0.6842
R_icteronotus_02_R_icteronotus_09,0.9024,0.963,0.7069,0.875,0.4583,0.9775,0.1813,0.7984,0.8725,0.6316
R_icteronotus_02_R_icteronotus_10,0.9268,0.7037,0.6552,0.5,0.5,0.6742,0.0687,0.8891,0.8179,0.8947
R_icteronotus_02_R_icteronotus_11,0.9756,0.9259,0.0517,0.3125,0.6667,0.736,0.1706,0.6351,0.3552,0.3658
R_icteronotus_02_R_icteronotus_12,1.0,0.9259,0.2241,0.5625,0.4167,0.7674,0.0994,0.7571,0.4718,0.7579
R_icteronotus_02_R_icteronotus_13,0.9756,0.963,0.431,0.625,0.375,0.0225,0.0619,0.7419,0.5519,0.55
R_icteronotus_02_R_icteronotus_14,0.9756,0.6296,0.5,0.625,0.7083,0.6404,0.0,0.8619,0.9144,0.1053
R_icteronotus_02_R_icteronotus_15,0.9024,0.5556,0.5345,0.875,0.8125,0.4011,0.1562,0.8216,0.7523,0.8105
R_icteronotus_02_R_icteronotus_16,0.9512,0.4815,0.0517,0.3125,0.5417,0.6798,0.1544,0.8942,0.8579,0.7053
R_icteronotus_02_R_icteronotus_17,1.0,0.2963,0.0172,0.375,0.4583,0.4663,0.0344,0.6784,0.827,0.4053
R_icteronotus_02_R_icteronotus_18,0.9512,0.7037,0.0,0.5625,0.5833,0.4865,0.1075,0.6724,0.5792,0.6789
R_icteronotus_02_R_icteronotus_22,0.9024,0.4444,0.1379,0.625,0.7083,0.6652,0.1631,0.75,0.8106,0.9342
R_icteronotus_02_R_icteronotus_23,1.0,0.4815,0.2241,0.5625,0.75,0.5483,0.1475,0.9466,0.7668,0.6447
R_icteronotus_02_R_icteronotus_24,0.9756,0.5926,0.0862,0.5,0.625,0.3315,0.0663,0.8317,0.7359,0.8789
R_icteronotus_02_R_icteronotus_26,0.9024,0.7593,0.4,0.7188,0.5813,0.6584,0.1375,0.9778,0.8051,0.7184
R_icteronotus_02_R_icteronotus_28,0.6098,0.4815,0.3966,0.9375,0.75,0.4966,0.1356,0.9486,0.6357,0.85
R_icteronotus_02_R_icteronotus_50,0.878,0.8148,0.4655,0.875,0.9583,0.8157,1.0,0.3649,0.2914,0.9868
R_icteronotus_02_R_icteronotus_51,0.9024,0.5185,0.5517,0.8125,0.625,0.6966,1.0,0.4597,0.3534,0.8289
R_icteronotus_02_R_icteronotus_52,0.9756,0.963,0.8448,0.4375,0.9167,0.191,1.0,0.7581,0.7086,0.3684
R_icteronotus_02_R_icteronotus_53,0.878,0.5185,0.6897,0.6875,0.9583,0.4506,1.0,0.8034,0.847,0.7868
R_icteronotus_04_R_icteronotus_05,0.6098,0.6296,0.8103,0.9375,0.875,0.7753,0.975,0.879,0.9089,0.9737
R_icteronotus_04_R_icteronotus_06,0.7073,1.0,0.6897,0.9375,1.0,0.8427,0.875,0.9093,0.3807,0.9737
R_icteronotus_04_R_icteronotus_07,0.6585,1.0,0.9483,0.625,0.875,0.7191,0.8875,0.7177,0.3625,0.8158
R_icteronotus_04_R_icteronotus_08,0.4634,1.0,0.8621,0.75,0.6667,0.7528,0.9938,0.9294,0.5264,0.8947
R_icteronotus_04_R_icteronotus_09,0.561,0.8889,0.8276,0.75,0.9167,0.7303,0.9312,0.9395,0.6721,0.8421
