indiv,grain.yield,grain.number,seed.size,anthesis,silking,plant.height,tassel.height,ear.height
11430,6.714174912650002,2524.89587100591,300.2941060249889,65.32916242460999,68.08815247359,214.2876922064,244.77635607866668,108.31486948568002
A3,6.283445284619999,2687.7461068458497,267.93689291612225,66.26612732366999,72.11664156868999,221.94284869536,246.56852058049995,112.33985950009
A310,5.64884515071,2098.97872013667,304.17556918437776,66.23793370423002,69.25073375655,221.82584458204,240.5210633676833,124.08681864396
A347,5.493819655019999,2119.2424739375992,291.9577857806778,67.70708578583,70.47042733406,209.09545766715,243.12232280735,114.83595692429
A374,7.505574092890001,3357.30158511878,258.2564273117778,67.81873645233999,70.94837487531001,218.69800623247,245.21611332023332,114.78946803669
A375,6.634623523300002,2751.34238698866,275.0637842464555,66.36189150308,69.65079882746,220.42786852711,240.6514889821833,113.99138053175
A554,5.942287722,2337.9041316064104,278.7897037532222,63.2084282787,66.41508419851,209.4820290867,233.31233077228333,109.04408085523
AS5707,7.51215424884,3083.16033965907,286.60278217364447,69.16897020452,73.19745917253,229.55790825772,255.59650941363336,121.39378017087002
B100,7.078415311730001,2757.2022634702694,294.3855960112556,67.43379513983,70.48536412314999,207.71992844787,238.1271165930333,106.84834305036
B104,7.4494304317,2691.48928862465,328.60598857015555,68.44147199938001,73.32116968176,215.21703421921,244.41408675485,113.34710394873
B105,6.12348734161,2520.06119240082,303.9647162534111,66.28620884298999,71.23959205180999,211.13445302625,239.0312016099,105.05220665977996
B106,6.5484769183600005,2637.9230678257704,287.577409492,69.82256800694,74.15733341976001,220.6382307073,247.88502725845,114.59859256218
B107,7.455235719619999,2645.66859665162,320.4476367249666,67.26226405630999,70.99364091298,231.42158521280004,258.34228220766664,124.43858224321
B108,6.527286849489999,2620.29612819681,286.14000067924445,67.64005468699999,70.89094143994001,216.60343166062003,244.87294273015,112.48229623813002
B109,7.70544644628,2915.30461497695,309.3746031443334,67.41090934147,70.61046911005,223.04045256267,254.7270930801,120.979486596
B110,7.801106551080001,2908.67125479416,311.6305322903778,68.40620864873,72.50567996365001,218.86988113994,243.21392145378329,121.4482078652
B113,6.9786990621300005,3103.778801532,264.4360787693222,67.62174656559,72.47280427861001,216.01580023750003,241.15809800220003,111.98868460281
B37,6.686559227639999,2619.5936866535403,304.8271314037667,68.96801748276002,73.92072101542,222.00479948307003,246.8689900857833,113.73788220924
B73,7.457005192570001,3006.77534116584,285.55346049288886,67.14582030388,70.28476304615,221.16652142879,249.0840078287833,122.82767301332
B84,7.65020086615,2708.5580001275603,314.90728303272215,68.20179732911,72.34175063122,223.39284969334005,256.38980642584994,121.87637009876998
B89,5.792443264960001,2211.80765384705,288.3539111035111,64.27092808616999,69.39348878800999,211.03524852995,237.96953660835,105.9327906932
B97,8.437723273360001,3173.65551408203,309.70481885045564,68.53973148355,71.72078809429,224.08873639199,249.89285155965,119.7328579111
B98,7.12286226827,3060.13831706173,281.01158547594446,68.85385195174999,74.99418960938,236.03072224458,258.63052735163336,118.71161994634
C103,6.384139396330001,2515.64357393161,310.3953922382222,70.26553442522001,76.75611473851998,226.71364811231,256.31384582236666,117.70812127233
CO109,4.733817728589999,1886.36536182169,286.4080289280334,63.36323593333001,67.75750303169,213.02554192365,241.8316249525666,109.51057657160996
CR1Ht,6.28602130645,2275.01476479951,312.0803698410778,64.46184817102,67.72790560998999,206.54142021357,237.47739451793336,108.11339965381
D09,5.921442846059999,2466.7816259648,266.2409671807,61.42877329424999,64.74245191023,214.41640853084,242.2046539115,111.45825006878002
DE811,7.807126410590001,3180.16276515083,290.38585980466667,69.51194835263,73.45698507244998,223.26784651583003,249.37984398301668,114.43487808684002
DK4676A,6.25944005436,2169.10824907824,324.0994725065,65.10503633558,66.79419413866,212.31394320605,232.0108775655,107.89045313473
DK78010,7.15771282516,2572.62939793058,315.7165945434,66.27484771668,67.75801434793001,213.4562310172,234.96592995378333,119.50262857811
DK78371A,7.340720029110001,2682.63446454461,322.51270700276666,69.00864880693,72.76520737681999,227.53392152919,252.45861331794995,113.98071634178
DKFAPW,6.527128810220001,2673.27909726839,283.3116584553666,65.18296795968999,69.43487786436,212.99043906672995,235.15667137888337,112.43924441341998
DKFBHJ,6.35104453462,2286.3093272034303,304.2603431058222,65.89756625466,69.10153137713,219.50784499014003,240.9247344041833,108.98104086418998
