pair,grain.yield,grain.number,seed.size,anthesis,silking,plant.height,tassel.height,ear.height
11430_A3,0.9207,0.9241,0.7255,0.9132,0.6998,0.8479,0.9627,0.8956
11430_A310,0.804,0.8015,0.9671,0.9158,0.9134,0.8502,0.9113,0.5909
11430_A347,0.7754,0.811,0.9293,0.7798,0.8225,0.8968,0.9655,0.8309
11430_A374,0.8544,0.6121,0.6433,0.7695,0.7868,0.9123,0.9908,0.8321
11430_A375,0.9854,0.8945,0.7859,0.9044,0.8835,0.878,0.9141,0.8528
11430_A554,0.858,0.9129,0.8176,0.8036,0.8753,0.9045,0.7612,0.9811
11430_AS5707,0.8532,0.7399,0.8838,0.6444,0.6192,0.6965,0.7746,0.6608
11430_B100,0.933,0.8917,0.9499,0.8051,0.8213,0.8695,0.8615,0.962
11430_B104,0.8647,0.9224,0.7598,0.7118,0.61,0.9815,0.9925,0.8695
11430_B105,0.8913,0.9977,0.9689,0.9114,0.7651,0.9373,0.8803,0.9154
11430_B106,0.9695,0.9473,0.8921,0.5839,0.5477,0.8738,0.9352,0.837
11430_B107,0.8636,0.9437,0.829,0.821,0.7835,0.6595,0.7174,0.5818
11430_B108,0.9656,0.9555,0.8799,0.786,0.7911,0.954,0.998,0.8919
11430_B109,0.8176,0.8181,0.923,0.8072,0.812,0.826,0.7927,0.6715
11430_B110,0.8,0.8212,0.9038,0.7151,0.6708,0.9089,0.9674,0.6593
11430_B113,0.9513,0.7302,0.6958,0.7877,0.6732,0.9657,0.9246,0.9047
11430_B37,0.9949,0.9559,0.9615,0.663,0.5653,0.8466,0.9564,0.8593
11430_B73,0.8633,0.7754,0.8749,0.8318,0.8363,0.8633,0.9103,0.6236
11430_B84,0.8277,0.9144,0.876,0.734,0.683,0.819,0.758,0.6482
11430_B89,0.8304,0.8541,0.8987,0.902,0.9027,0.9354,0.8582,0.9382
11430_B97,0.6828,0.6977,0.9202,0.7027,0.7293,0.8052,0.8934,0.7038
11430_B98,0.9248,0.7506,0.8364,0.6736,0.4853,0.5679,0.7114,0.7303
11430_C103,0.9393,0.9957,0.9143,0.5429,0.354,0.753,0.7596,0.7564
11430_CO109,0.6356,0.7024,0.8822,0.818,0.9754,0.9749,0.9386,0.969
11430_CR1Ht,0.9212,0.8836,0.9,0.9197,0.9732,0.846,0.8479,0.9948
11430_D09,0.8541,0.9729,0.7111,0.6388,0.7506,0.9974,0.9464,0.9185
11430_DE811,0.7989,0.6947,0.9159,0.6127,0.5999,0.8215,0.9041,0.8413
11430_DK4676A,0.9163,0.8342,0.798,0.9792,0.9036,0.9608,0.734,0.989
11430_DK78010,0.9184,0.9778,0.8692,0.9124,0.9754,0.9835,0.7956,0.7098
11430_DK78371A,0.8847,0.9265,0.8115,0.6593,0.6514,0.7367,0.8399,0.853
