pair,relatedness
11430_A3,0.1015
11430_A310,0.0668
11430_A347,0.0751
11430_A374,0.0574
11430_A375,0.0757
11430_A554,0.0421
11430_AS5707,0.0422
11430_B100,0.1206
11430_B104,0.0414
11430_B105,0.0437
11430_B106,0.0763
11430_B107,0.2768
11430_B108,0.0703
11430_B109,-0.0281
11430_B110,0.0527
11430_B113,0.0695
11430_B37,-0.0257
11430_B73,-0.0582
11430_B84,-0.0125
11430_B89,0.1205
11430_B97,0.0626
11430_B98,0.0463
11430_C103,-0.0147
11430_CO109,0.0384
11430_CR1Ht,0.053
11430_D09,0.0435
11430_DE811,-0.0239
11430_DK4676A,0.0025
11430_DK78010,-0.0545
11430_DK78371A,0.1593
11430_DKFAPW,-0.0415
11430_DKFBHJ,0.0071
11430_DKIBO2,0.4216
11430_DKMBST,0.2245
11430_EA1027,0.0722
11430_EA1163,0.0507
11430_EA3076,0.0541
11430_EC136,-0.0087
11430_EC140,-0.0012
11430_EC151,0.0379
11430_EC169,0.0002
11430_EC175,0.009
11430_EC232,0.0688
11430_EC242C,0.2849
11430_EC334,0.0092
11430_EP10,0.0662
11430_EP2008-18,0.1781
11430_EP2008-22,0.1975
11430_EP29,0.1092
11430_EP51,0.1047
11430_EP52,0.0666
11430_EP55,0.0483
11430_EP67,0.0636
11430_EP72,0.0594
11430_EP77,0.0707
11430_EZ11A,0.0727
11430_EZ18,0.0718
11430_EZ31,-0.0412
11430_EZ35,0.0292
11430_EZ36,0.0678
11430_EZ37,-0.0416
11430_EZ38,0.0235
11430_EZ40,-0.0112
11430_EZ42,-0.0205
11430_EZ47,0.0347
11430_EZ48,0.0419
11430_F04401,0.253
11430_F04402,0.2404
11430_F04701,0.179
11430_F04702,0.1037
11430_F05101,-0.0281
11430_F05404,0.2033
11430_F1808,0.1006
11430_F1890,0.2983
11430_F218,0.0536
11430_F252,0.0815
11430_F353,0.2873
11430_F354,0.0444
11430_F608,0.0841
11430_F618,0.0136
11430_F7001,0.0712
11430_F7019,0.007
11430_F7025,-0.0114
11430_F7028,0.0082
11430_F7057,0.0599
11430_F7058,0.0587
11430_F7081,0.0465
11430_F7082,0.0551
11430_F712,0.0681
11430_F748,0.0421
11430_F752,0.0428
11430_F838,0.0584
11430_F874,0.1254
11430_F888,0.0525
11430_F894,0.0103
11430_F908,0.0585
11430_F912,0.2414
11430_F918,0.0132
11430_F922,0.098
11430_F924,0.0153
11430_F98902,0.1669
11430_FP1,0.0238
11430_FR19,0.0319
11430_FR697,0.083
11430_H99,0.1276
11430_HMV5301,0.3405
11430_HMV5325,0.0642
11430_HMV5343,-0.0063
11430_HMV5347,-0.0172
11430_HMV5405,0.148
11430_HMV5409,-0.0187
11430_HMV5422,0.0754
11430_HMV5502,0.1649
11430_I198,0.1073
11430_I233,0.0791
11430_I238,0.1041
11430_I242,0.1037
11430_I261,0.0435
11430_I267,0.1065
11430_IDT,0.1194
11430_LAN496,0.0294
11430_LH123Ht,0.222
11430_LH145,-0.0162
11430_LH38,0.2646
11430_LH39,0.3918
11430_LH59,0.1035
11430_LH60,0.0552
11430_LH65,0.0264
11430_LH74,-0.0622
11430_LH82,0.2285
11430_LH93,0.062
11430_Lo1016,-0.0063
11430_Lo1026,-0.043
11430_Lo1035,0.0122
11430_Lo1038,0.1442
11430_Lo1056,0.0325
11430_Lo1063,0.0358
11430_Lo1087,-0.0253
11430_Lo1094,-0.0125
11430_Lo1095,0.1843
11430_Lo1101,-0.0581
11430_Lo1106,-0.0059
11430_Lo1123,0.0718
11430_Lo1124,0.0919
11430_Lo1172,0.0299
11430_Lo1180,0.2242
11430_Lo1187,-0.0132
11430_Lo1199,-0.023
11430_Lo1203,0.1063
11430_Lo1223,0.029
11430_Lo1242,0.2328
11430_Lo1251,0.0524
11430_Lo1253,0.0821
11430_Lo1261,-0.0445
11430_Lo1266,0.072
11430_Lo1270,0.0415
11430_Lo1273,0.0836
11430_Lo1274,0.0415
11430_Lo1280,0.0663
11430_Lo1282,0.0302
11430_Lo1284,0.0441
11430_Lo1288,0.1381
11430_Lo1290,0.0661
